若到江南赶上春嘉兴乌镇西栅: 江南美景,赶上春嘉兴
早上看了几篇关于四人跳崖自杀的报道，心里特别难受。他们除了贫穷，身体都很健康且精神方面没有任何疾病，甚至可以说是非常清醒。虽然报道中没有提到他们是因为什么原因抱着必死的决心相约自杀，虽然看完他们的经历之后我大致可以猜到原因，但还是不忍心说出来。: 关于四人跳崖自杀的报道,令人难受。
可见信息茧房很重要，你叫唤你的，我过我的日子。: 信息茧房很重要
人贩子何等嚣张？五年时间拐走一家三个孩子！张道棋刚出生三天就被人抱走，张道棋被拐两年后他的二姐张道凤失踪，5年后他的三姐张道书也不见了。全靠大姐张道萍多年四处寻找，已找到二姐张道凤，近日又找到了张道棋，还有三姐张道书没找到。张道棋的父母已去世。（素材来源宝贝回家）。: 贩子拐走一家三孩子,二姐失踪,三姐失踪。
这俩鬼子生前的名言台湾有事就是日本有事现在是它俩都出事了，都死于非命！看来这话不能乱说[裂开][裂开]: 鬼子名言:台湾出事,死于非命
身残志坚的母亲，用嘴巴干农活撑起了一个家庭，养活了两个孩子！: 残志坚的母亲用嘴撑起一个家庭
幼儿园指定家长站岗，合理吗？: 幼儿园指定家长站岗引争议
据今日俄罗斯6日报道，西班牙快时尚品牌飒拉的母公司已经获得俄罗斯政府批准，将正式退出俄罗斯市场。这是本周以来，继芬兰造纸企业芬欧汇川集团之后，又一家撤出俄罗斯的西方跨国企业。美国耶鲁大学的一项统计显示，俄乌冲突爆发以来，已有超过1000家公司宣布退出俄罗斯市场，包括福特、雷诺、埃克森美孚、壳牌、德意志银行、麦当劳以及星巴克等汽车、能源、金融和餐饮巨头。俄乌冲突爆发以来已有超过1000家公司宣布退出俄罗斯市凤凰网: 快时尚品牌飒拉将退出俄罗斯市场,已有超过1000家公司宣布。
突然想起欧美的校服现在被说种族歧视和性别歧视了。: 欧美校服被指歧视
西方的这些天才存不存在都是个疑问。: 西方天才存不存在疑问
当然吐槽了法国半天，有一点得承认，法国有一点优势统战价值极强。欧盟里面经济地位不如德国，政治地位比德国高。军工还可以，当然最有统战价值的还是和盎撒的关系。做出摇摇欲坠欲投华，这就是法国的最大价值。法国这边和中国签了合同，那边又卖印度人飞机。重新回到当年美苏争霸的那个地位。: 承认法国统战价值,与中国签合同卖飞机,重新回归美苏争霸的那个地位。
真的让我无法相信，还是老乡怎么能做出这么残忍的事，在国外不应该互相帮助互相扶持吗？好好的一个家庭被毁了，现在同时被毁的还有自己，请依法严惩凶手，给逝去的女孩一个交代淇淇的果子: 呼吁依法惩凶,给逝去的女孩一个交代。
丫丫赶紧回家，后续合作就不必了: 期待丫丫后续合作
聚焦大病个案救助，携手微博网友为大病患者带来爱与希望。在救助帮扶过程中也会持续关注受助人及家庭情况，如今他们怎么样了？儿童紧急救助中心@9958儿童紧急救助中心小钰于2021年确诊为神经母细胞瘤接下来还有很长一段治疗的过程，孩子最大愿望是想去幼儿园学习赫铭在四岁时候遭遇意外严重烧伤，经过一系列抗感染治疗、植皮手术治疗、功能康复治疗等，他的面部严重烧伤，疤痕治疗漫长而艰难，后期做了换脸手术。如今，赫铭便和正常人一样融入了学校生活。春天纷至沓来，带来无限生机和蓬勃希望，愿这些受助人可以在大家的爱心助力下早日康复: 聚焦大病个案救助,微博网友为大病患者带来爱与希望。儿童紧急救助中心小钰在2021年确诊为神经母细胞瘤,最大愿望是想去幼儿园学习。
店主在道德上絕對是錯的，但是民警強制店主關門道歉？: 民警<unk>制店主道歉
甚是好奇，这到底是为什么呢？: 为什么好奇?
个人觉得苏州科技大学的做法没什么不合理的。调剂向来是比较赶时间的，因为对于欲调剂的同学来说，快一些得到结果，就能够让自己多一些胜算。这间学校不行，那好，立即换一所。对于学校而言，学校已经告知学生，晚上会出结果，并且是电话通知出结果，假如学生真的需要调剂到这一所学校，那他的手机应当是24小时保持畅通且能够应答的。所以，早一点出结果，无论对学校还是学生来说都是好事。假如，学校非要拖到在调剂系统关闭前一天再通知你们未录取，那行政不用熬夜办公，导师不必熬夜面试，这岂不是更加皆大欢喜？拜托，要上学的是你诶。: 苏州科技大学的调剂做法不合理,需24小时保持畅通且应答。
冷知识，国外的公会罢工现在工会在谈判的是至少加500欧，而国家同意标准是300欧，而中国的最低工资却是两千多: 国外公会罢工谈判加500欧,中国最低工资两千多。
挖个新鲜的坟，鞭个新鲜的尸[开学季]图一，某御用博士最早的谱系来源于某市场益生菌19源于跨种传播图二，国新办啪啪啪！延伸阅读: 开学季新发现:某御用博士最早的谱系和跨种传播图一。
吃到笋笋的丫丫也是一只开心的[熊猫]宝宝耶: 丫丫开心玩耍
看到几个年轻人相伴相约离世的新闻，突然想起来天门山这个地方好像在哪里听到过。想起来原来这个天门山就是之前临近中元，一个自行车女骑手出事的地方。当时写过，某些特定名字的地点，在某些特定的时间，是不能去的，去了就会触发危险。就像一个按时开启的坑。当时女骑手说这是她最后一次比赛，然后在中元节上天门，地点和日子的组合就诡异。我不是说不能去这个地方（虽然我自己不会去），但是清明，中元这样的时节，又是凌危登高，其实在这样的特定空间、地点下，是容易叠加其他力量的。地点、时空，对人的想法是有潜移默化的影响的。如果去了一个地方是个平原、地名叫万紫千红，景色又是百花盛开，阳光灿烂生机勃勃，那他们会不会就容易放弃自寻短见的念头呢？我看媒体报道说这次的这几个人来自不同的省份，家庭条件都不是很好，比较困难，有很多兄弟姐妹。在外务工，最小的23岁，最大的也不过34岁。还人生还长。我一直认为人先得活着。有事要和周围人讨论，不要把自己封闭起来，不要受网络一些相约的蛊惑。活着才有新的机会。: 年轻人相约离世,猜测天门山可能引发自寻短见的可能。
95后男生国企辞职和妻子收废品，这种事很常见，作为从国企辞职四五年的我来说，国企并没有大家想得那么美好，特别是对于男生，虽然是铁饭碗，但是基层工资并不高，想要靠自己买车买房很困难，而且国企复杂的人际关系，如果不会搞关系，一辈子待基层，既然有其他挣钱的门路，条条大路通罗马，我觉得并没有什么不妥，收废品其实挺挣钱的，就是累一点苦一点，这年头不吃苦怎么挣钱呢？: 男生国企辞职和妻子收废品,不妥。
深圳交通的这一份情况通报是3月24日，今天是4月8日。: 深圳交通情况通报4月8日发布
4月4日13时30分许，4名年轻人在张家界天门山跳崖。经当地公安部门查明，4人为自杀。这几个年轻人，均在外务工，最小的23岁，最大的34岁。据大象新闻报道，一名逝者的朋友提到，警方向家属透露，这4名死者通过群聊的方式沟通策划，其中一名死者是带头人。四人在跳崖之前均服了毒药，还从本子上撕下纸写下遗言，遗书内容很简单，只有一句话，本人***，具有民事行为能力，本人是自杀，与其他人无关。这位朋友说，遗书是4月2日写下的。跳崖四人中有一位老三彭志军，家中兄弟姐妹四个，他在家排行老三。跳崖前，彭志军已经四年没有回家，其母亲在四年前去世。在李谷驼村，彭志军家条件在村里算是差的。跟村里大多数同龄人一样，彭志军初中没毕业就出去打工了。彭志军的工作是刮腻子，这是最基础的活，他比较瘦，不爱说话，存在感也低，干活不算勤快。小南河有几百号同村人，他们经常会约着一起吃饭喝酒，彭志军很少参加，即使来了，也不怎么说话，要么低头看手机，要么吃饭，就不回你，给人感觉爱答不理。大家也都不再叫他。如果要寻找四个年轻人身上的共同点，贫穷带来的磨难以及不断新添的变故或许是他们的共性。四川女孩陈婷今年23岁。出去打工之前，她一直生活在四川内江的一个村子里。陈婷一直成绩不好，孙苗苗说，初中时学校为了提高升学率，劝退了不少学生，陈婷就是其中一个。这之后，陈婷的妈妈吴丹给她找了一个学美容的师傅，陈婷跟着学了半年，就出去打工了。只比陈婷大三个月的张财睿家里生活也是不富裕的。十多年前张财睿的父母离了婚。张财睿的父亲五十多岁，兄弟六个，他是老四，因为家里穷，两个四十多岁的弟弟现在都没结婚。没有人给彭志军介绍对象，在农村的婚姻衡量链条里，彭志军各方面都处于最末端——他没有房子，也没有正式的工作。刘志永家在河南周口市沈丘县的一个村子。村里的邻居告诉三联生活周刊@三联生活周刊，刘志永有一个姐姐，一个妹妹，两人都已出嫁。条件苦是村里人对这家人最为直观的印象早在20多年前，刘志永的母亲就去世了，他的父亲多年前中风，行动不太方便，奶奶已经90多岁。刘志永在十六七岁出去打工，刘志永的堂嫂称，刘志永平常也不怎么跟家里人联系，只知道他和妻子以前在一个工厂打工，后来离了婚，孩子也判给了前妻。后来，他又谈了一次恋爱，据说被骗了。（来源三联生活周刊）: 4名年轻人在张家界跳崖,其中一人死亡,具有民事行为能力。
