在油菜花地里是不是更刺激！广州: 广州油菜花田刺激
4月9日，英国。8岁女孩张悠然获欧洲国标舞冠军，披上国旗那一刻她是最耀眼的中国红。: 英国女孩获欧洲国标舞冠军
也有网友疑虑这游非旅不可吗？温馨提示旅行要准备，安全第一位！创意混剪说说哪没推荐到位？: 网友质疑非旅不可,建议安全第一位。
少生优生幸福一生，不婚不生逍遥一生。: 幸福一生,逍遥一生。
员工上班偶尔摸鱼能辞退吗: 员工上班摸鱼辞退吗
她以儿童的眼光，编织着绮幻又不失真实的世界。她说当你认真做到通俗，书中的温度一定会被看见。有人会思考画面外的东西，到达更深远的地方，那也很好。这才是一本书的目的。: 她用儿童的眼光编织真实的世界。
印度看到中国在洞朗附近新建造的房屋，既眼红又不满意。: 印度看到中国洞朗附近新建房屋
4月10日，河北邯郸。一位聋哑男子在烧烤摊前崩溃哭喊的视频引发关注，拍摄者称，该男子平常帮摊主收拾垃圾端菜，摊主供他吃喝，瓶子等可变卖的物品都给他。当时酒瓶被另一个收拾垃圾的给抢了，就大哭起来了。邯郸: 聋哑男子在烧烤摊前崩溃大哭
琉球从来不属于日本什么冲绳，是琉球！琉球从来不属于日本！支持琉球复国！日本属于不要脸了: 琉球属于日本,支持琉球复国。
4月10日，发改委发布《关于防止和减少餐饮浪费的公告（征求意见稿）》。公告提出，餐饮企业应严格落实明码标价规定，向消费者明示所提供餐饮及服务价格。提供宴会套餐的，应标明套餐内各菜品价格，有折扣的应标明折扣。禁止餐饮企业设置最低消费。公告明确，要减少宴会餐饮浪费。根据公告，有关部门对宴会套餐特别是酒店宴会套餐、单桌1500元以上（不含酒水）宴会套餐实行重点监管，适时抽查宴会套餐及套餐菜品是否明码标价、是否明白标量、是否质价相符、是否存在明显浪费情况，抽查餐饮企业是否违规设置最低消费。更多详细内容请查看原文: 发改委:加强宴会套餐和最低消费监管,禁止餐饮企业设置最低消费。
最近遇到好几个电瓶车车祸，但凡没戴头盔的都是重型颅脑外伤，有的甚至当场就不行了。这里还是呼吁大家骑车一定要带头盔，也让家里人骑车带好头盔，保护好你最重要的东西: 呼吁骑车带头戴头盔
你们这些靠着动物赚钱还虐待动物的初升迟早有报应艹: 虐待动物有报应
我宁愿喜欢中国，也不喜欢美国 在罗马的几天时间，认识了几个老外。一个会拍照的德国人、一个不会拍照的印度人，一个法国人。今天说一说这个法国人，这个法国人从穿着上看是比较中下层的西方人，身体偏瘦长。从脸部长相看，我起初判断是来自北法地区，因为他的脚步特征有比较重的日耳曼特征。最后一问也确定了，他的家乡在法国靠近卢森堡的一个非常非常小的村庄，他打开谷歌地图找了大半天后，中午找到了他的家乡的位置。他告诉我他的名字叫路易斯，他说这是一个最常见的法国名字。我们笑着同时做了一个用手砍头的姿势，就是著名的路易十六被推上断头台。他的英语会有一股非常重的法语口音，以至于你不仔细听以为他在讲法语，他的发音位置仿佛是在腹腔。路易斯问我来罗马几天，准备啥时候回去？我说，我来罗马第三天，刚从中国过来，准备两年后回到中国。他眼睛瞪得老大，你准备旅游两年吗？我说，是的路易斯说，他在欧洲各地去看看，想去爱尔兰打工，在酒吧里做调酒师学习英语。我说爱尔兰的英语口音很重，你学了爱尔兰的英语，可能会在别的地方听不懂，你还不如去美国打工学英语他说，不不不，我不喜欢美国，我非常不喜欢美国人。我问，为什么？他说，因为美国人觉得自己非常了不起，他们认为他们什么都是世界第一，不像爱尔兰人那么平易近人。所以在美国学习英语会被人笑话我说，你本人曾经去过美国吗？他说，没有。我说，我接触的美国人来说，总体都非常随和，比欧洲人随和很多（欧洲人有一点端着的感觉）他说，总之我不喜欢美国。接着，他伸出右手，脑子一晃说甚至，我喜欢喜欢中国，也不喜欢美国接着，他看了看我的眼睛，想知道我的反应。他似乎的意思是，首先1，想跟我套近乎，因为我在场，说他喜欢我的国家博得我的好感。2，看的更广一点，西方话语体系下的中国影响很差，所以可想而知出生在法国农村的他对中国的刻板印象和大多数法国人一样，他说喜欢中国，属于怜悯式的喜欢，一种至上而下的认可。3，他的这种行为并于恶意，而是无意识的，他真的认为法国比中国发达很多。我心里呵呵一笑，一时不知道有啥反应（要你法国乡巴佬的认可呀，老子家乡比你们村发达多了），很多欧洲国家的人，其实并不知道自己国家也没他们想象中那么发达。意大利罗马: 爱尔兰小伙喜欢中国,法国人喜欢法国人,美国人不喜欢美国,英国人喜欢爱尔兰的英语口音。
62岁男子从外省抵沪持刀杀人，因经济纠纷与被害人存在诉讼 4月10日，网曝上海静安区静安寺一写字楼发生杀人案，一人倒在地上，现场血迹一片。警方通报称，62岁男子代某某因经济纠纷与被害人存在诉讼。5时许，代某某从外省居住地抵沪，11时许，持刀将被害人捅伤致死。目前，嫌疑人代某某已被抓获，案件正在进一步侦办中。: 2岁男子在沪持刀杀人,因经济纠纷与被害人存在诉讼,嫌疑人代某已被抓获。
最重要的是整顿职场，杜绝内卷内耗的情况，减轻年轻人的工作和生活压力，现在职场的内卷内耗，就业率下降，也更容易引发社会矛盾。坚决彻底的整治畸形的职场生态，才是治本之策。人生就是扯淡: 整治职场内耗,治本之策。
翟胁迫苏享茂系列之三大家继续看翟是怎样威胁我弟弟的真的按法律走，你要坐牢哦公司倒闭的阶下囚最高人民检察院@最高人民检察院北京检察@北京检察北京检察一分院@北京检察一分院海淀检察@海淀检察人民日报@人民日报共青团中央@共青团中央南方周末@南方周末: 翟胁迫苏享茂系列之三,关注翟是怎样威胁我弟弟的。
采访了一堆猛家军造型军宅，然后说台湾人人愿意上滩头咱就说: 采访猛家军造型军宅
这不知道说什么好了一个人渣这样花纳税人的钱真的无语子，就凭他是上海户口吗？上海户口又有多少无保户孤寡老人没有住进公立养老院的？真的是阳间的新闻呢: 凭他是上海户口吗?无保户孤寡老人没有住进公立养老院的疑问待解。
随着冷空气的东移南下，沙尘天气继续向南推进。此轮沙尘跨过长江影响到了南方，这是常见的现象吗？中央气象台首席预报员桂海林表示，当北方的一个天气系统很强的情况下，沙尘的爆发位置刚好又在主要的沙源地，沙尘强度会比较大，在高空偏北气流的输送下，往往能达到一个远距离的输送。其实不仅仅是到了南方，从监测数据来看，在比较强的沙尘天气时，甚至可以围绕地球一圈，在欧洲的阿尔卑斯山上曾经也检测到了来自于亚洲地区的一些沙尘。所以说沙尘是一个远距离的输送现象，即使影响到了我国南方地区，也并不是特别稀少的事情。沙尘跨过长江到南方常见吗？专家甚至可以绕地球一圈: 沙尘跨过长江到南方,常见的现象吗?专家可绕地球一圈。
424品客 请党放心强国有我[奋斗][奋斗][奋斗][奋斗]: 请党放心强国有我
梦游娃娃0627@梦游娃娃0627地铁里是不用戴口罩了吗？地铁六号线看到好几个不戴口罩的。: 地铁里不用戴口罩了吗?
另类大跃进就是连双休和八小时工作制都落实不了的情况下去讨论做四休三的问题。媒体就拿着个钓竿把调休，双休，工资，加班几个话题胡萝卜似的钓在热搜上，让驴子整天看着以为能吃上拼了命地往前跑给它涨热度，旁边路过的官人还笑着骂两句你不会去仲裁吗？: 大跃进讨论四休三问题,媒体钓出热搜话题。官人笑着骂两句。
权力很大，但八项规定很硬。这个案例对于领导干部来说，教训在哪？在于必须时刻敬畏八项规定，时刻警惕自己手中的权力，和下属的投己所好。规定是硬的，尺度在自己手上。下属投喂你都吃，很多时候是试探。有时候也会是个坑。跳不跳进去，取决于自己。同时提醒党政机关，对于异地任职的官员，生活也要安排好。规定范围内，一定要为他们创造为民服务的基本条件、加班加点的基本保障。让异地任职的干部，工作安心，也不豁边。雪松刘雪松: 敬畏八项规定,时刻警惕自己手中的权力和下属的投己所好。
手机自带功能，最好提前开启 近日，陕西西安，顾女士在网上分享了她手机丢失一个多月后成功找回的经历，引来不少网友询问如何做到。顾女士表示，手机丢失后她就用同品牌的备用机登录了手机账号，时不时查看丢失手机是否开机。当丢失手机开机后，她便在备用机上定位了丢失手机的位置，同时还获取了该手机目前使用者的联系电话和所连接的无线账号。掌握这些信息后，顾女士报警求助，成功寻回了丢失50天的手机。: 手机自带功能需提前开启,西安女子成功找回丢失手机。
想通了，其实这事就应该两家一起维权，两家利益都受到损害，一家没买到一家没官宣放了票也没有早鸟了，结果主办方一招转移矛盾，把消费者和商家的矛盾变成好像是粉丝扯头花，真的是不地道: 主办方转移消费者和商家的矛盾
转发直播，抽20人送精美礼品: 直播送礼品,抽奖精美。
不上升到治安、刑事层面，毕竟大部分人遇不到就说一点有不少男摄影的耐心是真的差得一爹又想拍出好看的照片，又不准模特花时间梳妆置景。问就是你影响他创作的心情了[裂开]一次，化好妆到现场的情况下，因为穿盔甲穿了半个小时，男摄影摆出一副你得罪人了的脸色一次，外地男摄热情当向导一起去某地拍花。因为是去外地，女生们到现场后花了两个小时左右搭秋千、摆古筝，化妆梳头。外地男摄直接气走并且发朋友圈骂人。一次，某民宿拍宣传。因为环境效果原因花了两个小时重新置景，女生们花了三个小时左右梳头化妆。答应了这项工作的大叔摄影师当场撂挑子走人不干了。后来靠工作人员拿卡片机拍摄完成的。在一些年龄层的男摄影师自己的小圈子里，嫌模特让自己等得久是可以记仇一百年的事情。他们有的会把故事讲成我出名之前如何受模特怠慢，还加上现在她求我但是我让她高攀不起的后续有的会把故事讲成那几个女的过场太多我当场翻脸走人，听众夸他整顿职场真有脾气他们是不知道做细腻造型需要两三个小时起吗？有很多优秀的男摄影师也是知道且理解的。有一些是确实不知道。但也有不少人给人的感觉是，其实知道，但是他们要的是意境，你插鸡毛还是梳十八环，他是主不在乎，而你怎么敢拖延时间影响创作的兴致可能很多朋友看了会说，让等两个小时是很过分啊。但是汉服化妆造型，如果不是职业模特，自己弄花掉三四个小时很常见。我自己最长准备过六七个小时，是一个博物馆新展需要的造型。这个时长的准备也值得。小一万的衣服，第二天设计师就收到了六十多个询单。而且这种梳妆要精细优美，本身就不能太急太赶。这在《梦华录》的原作，关汉卿《救风尘》里，赵盼儿就有一番梳妆论那好人家将粉扑儿浅淡匀，那里像咱干茨腊手抢着粉好人家将那篦梳儿慢慢地铺鬓，那里像咱解了那襻胸带，下劾上勒一道深痕。元朝女性就知道好人家女儿要浅淡匀粉满满梳头，不然就会卡粉的道理了。那女摄影师就有这个耐心吗？她们岂止是有耐心，她们起码会深有同感地说自己梳头真是太辛苦了理解只是基操。她们中间很多人，自己就会操刀给模特做发型、做妆面，现场随时帮你看头发有没有溜，刘海有没有变形。男摄影师也有会改妆的人才，但是真的没那么多。会做汉服女装发型的我个人还没有见过。有的男摄说知道为什么他们不喜欢喊你吗你化妆太慢了，而妹摄普遍会说真是辛苦了连头发都自己梳的，需要我帮你看看后脑勺吗？体验相差太多了配图都是小姐姐们的作品——————————————更新一点史老柒@史老柒带节奏说摄影师按次收费的问题。引导得特别有细节，什么按次还是按套。有没有可能别人说的情况是互免？因为模特也是收费的啊，大家为了创作有时候互免。你光问摄影师收费，不问模特收费，看似客观公允，其实已经是典型的拉偏架了。而且，什么按次收费就该逼逼，无论按什么，我反正是还没遇到过收费情况下还逼逼人的，男女都没有，成都的商业摄影这一点职业素养相当高。而七个小时梳妆那次，摄影师是设计师的雇员，拿工资社保喊设计师喊的老板的那种。我们化妆他就在自己工位图推进其他项目。但你虚构了一个摄影师都站在旁边干看着的画面，让我在你评论区白挨不少骂。请你停止引导，消除影响。————————————————————————感谢史老柒@史老柒老师现身说法，给大家呈现了一位自以为是的先生会做什么呛人造谣容貌羞辱吃瓜都能吃急眼，还不准人说一句没耐心[微笑]————————————————————————史老师喊看他转发的一些兼听则明看了。婚纱古装最多就两个小时—————这就是常见的沟通无效的症结，你告诉需要多少时间人家不在乎，人家觉得自己心里有谱。光线窗口没了—————以史老师最爱的7小时白等谣言为例。我和化妆师是凌晨五点半到的设计师所在公司。我也好奇怎么导致没光线了[摊手][摊手]: 优秀男摄影师对女摄影师有耐心,曾花2小时给她们化妆,拍摄出漂亮照片。
