成龙大哥生日快乐成龙@成龙: 成龙生日快乐
现在骂白幼瘦挺黑壮胖都成为新的了。本身不管胖瘦，自己健康舒服能够自洽就好。但审美是件很私人的事情，比如有些人就喜欢白瘦，不喜欢黑胖。你非得指出这个审美的错误性，挺莫名其妙的。还有和小红书现在只要是胖点的照片或者视频，一堆人夸好看，点进头像一个比一个卷，哪样好看她们没逼数么？总之你可以喜欢这样，也要允许别人喜欢那样。喜欢什么不是问题，不允许喜欢什么才是问题。: 批评白幼瘦和黑胖的审美问题,需要允许别人喜欢。
建党一百多年了，建国也渐近百年。在这个时候，尤其要警惕权力私有化。有人举报我？直接给他原地消声。这就是权力私有化[喵喵]: 警惕权力私有化
中电科下属机构被曝让职工写周末不请假书: 电科下属机构被曝让职工周末不请假
因为荷包蛋没放在鱼上面，就要餐厅重做一份！遇到这种客人，还是直接踹出去吧！这不算故意找茬吗？: 餐厅重做荷包蛋惹怒客人
绝完育感情更好了 近日，江西南昌。女子为了给猫咪绝育，与宠物医院的医生演了场宫心计。自己躲在卧室里面，让医生上门抢猫，直接带走做绝育。绝育手术完成后，女子摇身一变成为猫咪的救星，第一时间出现在猫咪的面前，并把猫咪解救回家。女子称猫咪已经拿我当救命恩人了。: 女子为给猫咪绝育,与医生演宫心计,摇身一变救猫。
老祖宗藏够深，男子钻山洞祭祖，胖一点都出不来: 男子山洞祭祖,胖出不来
近日广西一名退休老人，亲手为儿子和未来儿媳妇做拨步床，网友不知道那个姑娘这么有福气享用！这才是中国真正的奢侈品，真正的瑰宝！: 广西退休老人为儿子和未来儿媳做拨步床
台湾人为何这么傻，厦门居然是样板城市，我们为什么要骗他们？: 厦门是样板城市,为什么要骗他们?
中国疾控中心研究员周蕾表示，疫情的发现地不等于疫情的起源地。对于新冠病毒溯源，需要全世界的科学家共同研究、充分客观地秉承科学的态度来一起开展研究工作。如果世卫组织部分人员妄加指责，尤其是想要否认我国第一阶段联合溯源调查研究的成果，恐怕损害的是世卫组织的公信力。因为事实上，当时在武汉，中疾控联合科学家，包括国外和国内的联合专家工作组，共同开展联合溯源研究的过程中，中方科学家是本着科学、公开、客观、透明的工作原则，把所有掌握的数据和资料都进行了分享，包括早期病例信息，还有当时对武汉早期的呼吸道传染病可能的、可疑的新冠病毒感染的多人的病例资料，都进行了分享和深入的联合分析研究，当时的结果得到了专家们的集体认可。此外，我国还把中国境内2018年到2020年当时采集了多份的家禽家畜样本，以及多份的野生动物样本都进行了抗体或者核酸检测，这些结果提示也都没有发现新冠病毒阳性。对华南海鲜市场当时的所有动物产品上下游供应链也进行了追溯性调查，并没有发现病毒在动物当中传播的证据。这些研究结果当时就与世卫组织遴选的国际专家团队进行了分享。第一阶段的联合溯源研究过程当中，本着科学、全面的态度，我国在设计阶段也考虑了实验室泄漏的可能性。为了研究这个方面，在武汉期间，中疾控就组织了联合专家团队实地到武汉多家实验室进行考察调查和研究，并进行了深入交流，而且还把实验室的工作人员包括当时在实验室里面的学生，这些人员所有的健康监测资料、可能的就诊临床资料，全都做了调查和分析。不管从哪一个方面，在第一阶段的联合溯源研究过程当中，我国充分地分享了我们的研究结果和数据，并没有任何的隐瞒和保留。科学家做研究，尤其是病毒的溯源研究，是存在一定难度的。在历史上遇到的多种新发的传染病，比如，它出现十几年之后，才初步发现和得到了一些线索，能对它的起源有一定了解，包括后来发现的埃博拉病毒病，这种病毒病出现之后，从上个世纪70年代到现在人类还不是非常清楚埃博拉的起源，新冠到现在才三年时间，我们还有很长的路要走。而多种疾病溯源的研究结果其实已经告诉我们，疫情的发现地并不等于疫情的起源地，所以还是应该秉承科学的态度。而且更重要的是，对于新冠病毒溯源，需要全世界的科学家共同研究、充分客观地秉承科学的态度来一起开展研究工作。世卫组织非常重要，它是国际社会公认的权威的专业机构，它的科学性、严谨性、公正性是不容置疑的。如果世卫组织部分人员妄加指责，尤其是想要否认我国第一阶段联合溯源调查研究的成果，恐怕损害的是世卫组织的公信力。周蕾说。: 中疾控中心研究员周蕾:埃博拉疫情的发现地并不等于疫情的起源地,需要全球科学家共同研究。同时,中国科学家共同探讨了病毒溯源研究中的早期病例和疑似病例,但未发现病毒感染源。
最近杭州一女生晒自己摆摊正值樱花盛开的季节，女生用樱花牛奶和粉色的雪糕制作出粉粉嫩嫩的樱花奶昔，十分应景。女生表示，自己本身很喜欢做这些美食，看到最近摆摊流行起来，就趁休息的时候来试一试，没想到很受欢迎，摆到中途甚至现场下单了原材料，一天下来自己赚了1000多块，非常有成就感。话题导语杭州一女生在樱花树下摆摊，日入过千，网友表示真的一边享受一边赚钱。: 女生用樱花牛奶和雪糕制作樱花奶昔,受欢迎。
记者查2小时监控破案 张女士住余杭香悦四季轩，她说车子在自家车位上停了半个月，不知被谁撞坏了，车门受损严重。物业一开始怀疑，不一定是小区里撞的，记者花数小时求证，终于发现线索。车门肇事者，是张女士压根没怀疑过的人黄金眼: 杭州余杭香悦四季轩车被撞事件肇事者是张女士,没怀疑过的人。
有一位香港网民去到深圳吃兰州拉面，店内坐满了香港游客，她没吃过，以为跟香港的牛肉面差不多。等牛肉拉面上来之后，她发现牛肉只得三、四粒碎粒，细过指甲及四块又小又薄的萝卜，少到离晒谱，谂住在麵底仍有，点知寻极宝都没有。她表示，虽然不是太贵，但真係好搵笨！之后见大众点评食评，很多人都係咁讲。我相信日后很多香港人会被上面三个原因吸引入内，所以提提大家。小心中伏有香港网友安慰她，兰州拉面就是这样的，入乡就要随俗，生活背景不同，不要从自己的角度看事物，这样就会容易理解。: 香港游客在深圳吃兰州拉面,发现牛肉只有三、四粒碎粒,并认为香港人入乡随俗。小心中伏有香港网友安慰她。
停车场按国家标准收费 4月4日，山东菏泽，男子发视频称自己驾驶的半挂车追尾前车，停放至百顺停车场两天被收取4500元。当事人徐先生表示，停车场工作人员说他们的拖车太小，只能从济宁调了一辆拖车拖至停车场，前车因为车损轻微自行驾驶至停车场。第二天事故责任认定书出来后，他取车时被告知要收取4500元拖车费，前车司机也被索要400元引导费。对此，徐先生表示不认可，从未见过这么高的停车费。7日，百顺停车场工作人员回应称都是按国家标准收费，因为这辆车太重，本地拖车小，临时从济宁那边调过来的，所以费用高一些。对于收取的400元费用，工作人员称不是引导费，一开始去了一辆小拖车，没拖的情况下也得收费，400元跟小拖车费用有关系。菏泽: 山东菏泽停车场按国标收费,司机被索要400元引导费。
4月5日，广西桂平。家族祭祖在祖先骨灰坛里发现蜜蜂筑巢。拍摄者蒋同学介绍，后来把蜂巢带回家挤出了两瓶蜂蜜，被一个伯伯自留了。: 广西桂平家族祭祖发现蜜蜂筑巢,拍摄者分享蜂蜜被伯伯自留。
一位网友带患有癌症的妈妈去理发店剪发，因还价了5块钱男理发师剪头敷衍，说女的就是麻烦，网友的妈妈得癌症是苍天有眼，民警强制关门要求他道歉才肯表演了一段道歉: 网友因还价理发师剪发遭民警强制关门要求道歉
最近最爱看上海本地博主吐槽上海物价，主要是讨论起来非常有参与感[报税]全国其实都有通货膨胀的问题，但整体过程有点像温水煮青蛙。上海的物价膨胀问题，那可不是温水煮青蛙！那是水煮牛蛙干锅牛蛙热油浇牛蛙还要加麻加辣！我先说房价吧，市中心次新房是2年翻倍，2000涨到4000，5000涨到一个亿的涨法再说房租吧，上年上海房租普遍有涨2030，多的涨50，今年稍微有一点回调。再说说吃饭吧，我平时吃贵的餐厅比较多，我感觉疫情前两个人随便吃吃大几百比较普遍，疫情后我出去吃饭两个人很容易吃到一千多！我体感餐饮消费涨价程度有个2030左右。上海工资涨了么？我不太懂，我没上过班。上班的可以大概和我说说什么情况。至于上海便宜的消费什么情况？我想说涨价是有传导性的，你们的消费安全区也不会安全太久。虽然每次发上海物价都要被上海网友换着角度骂我，但我还是想说就是很贵啊怎么了我替你们出头骂一骂你们还不感谢我？怎么还斯德哥尔摩上了叫我滚了？都说为众人抱薪者不可使其毙于风雪你不给我点根卖女孩的小火柴也就算了，咋还扒我贴身衣服要我风吹裤裆呢？我这种日常消费习惯，已经算重度价格不敏感人群了吧？如果我有感觉到涨价的压力，普通人只会感到压力加倍。如果你还没有感觉到，我只想说时间问题，通胀压力早晚会传导到你的消费端: 博主吐槽上海物价,讨论消费习惯和物价上涨情况,关注物价上涨和房租上涨。
广州理发店避雷老板咒骂患了癌症的顾客是苍天有眼: 理发店辱骂患癌顾客
近日，上海。上了三年网课的大学生到底有多会装网卡？精髓是眼睛要无神。网友感受到了到底有多慢。水母网@水母网水母网: 上海大学生装网卡问题引关注
一场全国升温大赛将展开激烈角逐，全国体验版初夏进程图看看你家何时升温。（中国天气）: 全国升温大赛将举行,体验版初夏进程图曝光。
上海静安市监局回应 4月5日，市民王先生反映，他与太太2人于3月23日赴上海外滩附近一家名为的餐厅就餐，单人价为6800元，2人共花费了元。之后几天，他们发现自己与当时一同就餐的另外4位顾客都出现了上吐下泻的症状，我们6人一共花了元餐费，希望餐厅给个说法。不过，在他们向餐厅反映问题4天后，于3月29日收到了店家发来的英文邮件，表示此事与餐厅无关。他们认为我们6人是感染了诺如病毒，着急撇清责任。沟通的也都是中国人，为什么发英文邮件？王先生对餐厅的态度非常不满意，3月30日，他向当地市场监督部门投诉。一位餐厅工作人员则告诉记者，餐厅向顾客发送邮件后未得到对方反馈，他们就直接在网上发视频说自己食物中毒，我们觉得蛮荒唐的。目前还在等待市场监管部门的检查结果。4月3日，上海市静安区市场监督管理局工作人员告知王先生餐厅已于3月25日更换菜单，他们无法对王先生一行人当时就餐的食物进行检查，但会继续检查食品供应商并安排双方进行当面调解。东方网纵相新闻六人同日在人均消费六千元餐厅就餐后上吐下泻，上海静安市监局回应: 上海静安监局回应餐厅上吐下泻事件
