永远为落日晚霞而心动: 为落日晚霞而心动
的报道，内心的石头又压了一天，我作为一个社会最底层出生，父母农民，贫困，没有怎么上过学的曾经底层人民中的一员，我在这个四个青年身上看到了曾经的自己，他们也是从小生活在我周围，目前依然生活在我村里那一个个一代代贫穷无望邻居家的儿子，孙子，目光呆滞的孙女们作为成功走出大山，走出困境中的底层人民之一，活下来并且活的很好的一个案例，一个大姐。我想分享两点给这个特定群体的兄弟姐妹们，做到这两点，你们这一生即使不幸福，也不会有多少痛苦。1）就是坚定不移的和自己的原生家庭做切割，和父母做切割。贫穷是结果，造成贫穷的原因有很多，外界的，环境的和个人的，贫困带来的愚昧，狭隘和短见会左右一个人的思想，思想指导行动，行动导向结果，结果就是命运，一个人生活里的穷从来都是先从思想上的贫开始的。你如果想要脱离贫穷，想要活出和你父母不一样的命运轨迹，第一步就要先远离贫困思想的来源，也就是远离你的父母，远离你当下的贫困的生存环境。施耐庵在《水浒传》里说过一句，族旺留原籍，家贫走四方，说的就是同一个道理。你留在贫穷父母身边，或者精神还在被他们哺育被他们影响，你会毫无保留的继承他们思想上的贫导致的愚昧狭隘和短见。对一群没有医保，没有养老金，没有任何社会福利自生自灭的群体，他们生孩子纯粹只是为了自己需要，纯粹就是交配的结果，就是多双筷子给口饭吃的低成本养育思维，孩子十五六岁就可以出去打工给自己回报，没有经济回报的也可以卖苦力给自己当免费护工，女儿还能卖点彩礼，无论儿女几乎都是没有什么成本拉扯大的。包括今天这种生育观依然是主流，他们对生存的恐惧是与生俱来的，生孩子也是他们消解恐惧，是无望人生最后一丝希望。如果你在类似的环境里长大，遇到类似的父母，不要恨他们，恨会让你继承仇恨继承他们的命运，你要做是理解他们，原谅他们，然后坚定不移永不回头的远离他们，在你走出这种家庭走上社会的那一刻，请把自己当孤儿一样对待，不要幻想自己有退路，你背后的那个成长环境，那个生孩子为自己求保障的父母，除了贫困愚昧和道德绑架，没有任何东西给你。2)不婚不育如果你出生社会底层，贫困，无论男女，请不要再想着结婚生子，生孩子的执念应该是底层人民精神牢狱里最粗的一根锁链，他们不知道的是，如果这辈子有幸遇到一个伴侣，只要不生孩子，即使再贫困，两个人齐心协力互相扶持，彼此能够做到和原生家庭切割，不被贫穷的父母影响思想和生活，两个人一起作伴无论是精神上还是经济上生活不可能比一个人的时候糟糕，这种生活方式对底层穷苦人来说就是最理想的一生了。现在一些家庭陷入贫困，夫妻感情陷入危机，包括婚姻破裂，基本上都是从孩子出生的那一刻开始的，精神贫困导致的愚昧，狭隘，短见就体现在这里，他们永远跳脱不出再穷也要生孩子（准确的说再穷也要女人生孩子），把孩子当希望，把孩子当一种主流生活方式里必备道具这些个精神牢狱，麻木不仁的继承重复上一代的贫困和悲剧，制造一条又一条跟自己一样绝望无助劳苦一生的生命。对一个贫困底层男性来说，你们的实际情况也许本就不容许你他走上结婚生子这条路，但是如果你脑子里一直有结婚生子这个念头，这个念头就会像一片叶子，会遮住你的眼睛，所谓一叶障目，你会被困在黑暗中被脑子里的执念支配在原地打转，你不会进步，就跟被拴住的牛一样，只会在绳子的长度范围内打转，永远去不到更大的世界。而女性要警惕的是，许多和你一样社会底层贫困的男性哪怕贫困的父母村里还有间土屋子给自己，还有父母给自己免费劳动，绝大部分底层穷男孩都不会离开父母，天门山那三个男孩，如果我没记错的话，父母去世的去世，要么就是家里兄弟多，老家已经没有自己的容身之处，这种情况下才迫使他们远离了原生家庭，而社会底层的女孩，你们生下来就是没有任何财产，房子，土地给自己，所以你更加没有理由不去做切割，不去远离，同时警惕，你好不容易远离了精神贫困的父母，泥潭般的原生家庭在社会上摸索扩大生存面的早期阶段，不要稀里糊涂被另外一个贫困家庭出身的贫困男性打着爱的名义再把你重新推进泥潭，他家的。我时常跟说，我们俩有今天的幸福生活，能够有足够的时间建设发展自己，能够拥有今天的充实，自由，精神物质都相对富足的生活，纯粹就是因为没有生孩子，我们庆幸自己在没有能力，双脚还在泥潭里的时候没有稀里糊涂的把一个人带到这个世上，没有被承担另外一条生命而分散出去的精力，时间，经济削弱到自己，让自己有了足够的空间，时间专注彼此的成长。一个穷人家的孩子，意识到，做到上面这两条，精神上开始扫贫，命运轨迹就会开始改变转向，从泥坑里爬出来找到方向，改善生活的穷只是时间的问题。你的人生经济精神上有了盈余之后，你能够做到无条件的帮助别人，这时候你想可怜你的父母，想去帮助他们，没我有任何问题，先自己吃饱，那种鼓励自己饿死也要奉献的剧本都是为了剥削和压榨，正常人的教育都是先自私，再无私。请各位年轻人务必千万次拯救自己与水火，生命本就无意义，也不带任何任务，人也根本不需要多少东西就能活下去，请勇敢点，勇敢的活下去。玲玲和四只猫: 远离贫困,远离父母,远离贫富。施耐庵在《水浒传》中描述的案例。
现在去台湾的旅行团规模都这么大么: 台湾旅行团规模巨大
疫情后，全国最大的糖酒会。成都: 成都糖酒会成为全国最大的糖酒会
女子高铁上调座位，遭后座乘客不满引起争论: 女子高铁上调座引争议
或将面临10年监禁一名19岁的美国女孩在网上发布一段视频，显示与一只德国牧羊犬发生性关系，被人举报后被警方拘捕捕，若被指控的罪名非自然性交成立，她可能面临最高10年的监禁。这名女子叫丹妮丝妮可弗雷泽生活在美国的密西西比州。今年2月，弗雷泽在社交媒体上发布了一段视频，内容是她与一只德国牧羊犬发生不当关系。一名美国公民看到后将此视频举报给当地警方，弗雷泽因严重虐待罪名被捕。从当地警方的采访内容来看，弗雷泽不止曾经与一只狗发生过这种关系，并拍摄视频、上网分享。此外，弗雷泽还在上发布了她抱着狗跳舞的视频。琼斯县警署的警察卡特表示，他们对该案的调查仍处在初始阶段，接下来还有很多工作要做。可能还有在其他县拍摄的视频，我们已通知附近的警长部门。同时，警方已经从弗雷泽的住所查获了很多只狗，已将它们送往当地一家动物医院，其中一只狗是德国牧羊犬，弗雷泽特别称这只狗为服务犬。卡特对经手此案感到心理不适，他说在他17年的执法生涯中，这是最令他感到不安的案件之一。警署已经查到了多个非常生动的视频，但他们不能随意发布这些视频，甚至不能讨论其中的内容。弗雷泽承认视频中的内容，即她曾与动物发生此类关系，但她告诉警方，她是受到威胁要这样做，而且人们会付钱给她来购买这种视频。卡特警官直言不讳地说，我们以前从来没处理过这种特殊类型的案件。除了恶心，真的没有什么词可以形容了。目前，弗雷泽因虐待动物及非自然性交的罪名已被拘押在琼斯县成人拘留所。当地时间4月6日弗雷泽首次出庭，其保释金定为25万美元（约合172万元人民币）。当地法官要求弗雷泽在审判结束前远离动物。在美国密西西比州，单纯虐待动物会被处以最高六个月的监禁，但非自然性交罪名所对应的刑期最高可达十年。寰亚: 美国女孩因与德国牧羊犬发生性关系被捕,涉嫌严重虐待罪,警方已介入调查。
在野外挖一个大池塘，之后一年里的自然生态演变 亚拉巴马州一家花生农场里，网友建造了一个两公顷的池塘，本想用来养鱼，结果在布置的过程中，越来越多的动物自发聚集了过来。如今一年过去，这里已经逐渐形成了个环池塘生态圈。光是常见的面孔就有鹿、鹅、熊、郊狼、松鼠、兔子、狐狸、各种鸟类，还有一旁森林中无数的动物会来饮水。网友在四周布置了摄像头，记录下了许多池塘边发生的趣事。一个小小池塘生态圈里的故事，可能远比你想象的更加丰富。精选: 亚拉巴马州一农场建环池塘,动物自发聚集,形成生态圈。
这时间点货车司机是犯困了吧庆舍: 货车司机犯困庆舍
儿媳父母离世后，善良的婆婆将儿媳弟弟接到自己家照顾，不仅把儿媳当亲生女儿，也将弟弟当亲生儿子一样照顾: 善良婆婆照顾儿媳弟弟
丈夫事发前没有任何异样 4月7日，贵州兴义市一位宝妈带着两岁的儿子，一起在所住小区失踪，至9日中午仍无消息。女子的丈夫袁先生介绍，在小区外的路边，他找到了孩子失踪前骑的玩具车。袁先生还表示，事发前没有任何异样。黔西南州公安局义龙分局工作人员称，目前正在调查。（极目新闻、九派新闻）九派新闻: 贵州兴义宝妈携两岁儿子失踪,警方正在调查。
镇政府回应男子当街强吻踹飞女孩: 镇政府回应男子当街强吻女孩事件
违者没收工具和违法所得，并罚款 据九派新闻@九派新闻报道据公众号晋城环保发布，夏天将至，气温逐渐上升，烧烤行业逐渐恢复。为进一步改善环境空气质量，守护城市的蓝天白云，晋城市生态环境局城区分局发出通知，就进一步推进市区露天烧烤污染整治提出要求，《通知》特别提出要求流动的经营性露天烧烤、非经营性露天烧烤将依法进行取缔、清理。对违反上述相关规定的单位及个人将责令其改正，没收烧烤工具和违法所得，并处五百元以上二万元以下的罚款。九派新闻: 露天烧烤污染整治提出要求,将依法进行取缔、清理。
文化输出与文化同化（注原文发布于2019年8月的知乎）文化输出不是中华文明的特长文化同化才是。要么你被我同化为自古以来的一部分，要么我们和而不同，我对你没有多少输出价值观生活方式宗教哲学的兴趣。前者既然已经是自己人了，就不说文化输出了。后者既然没兴趣，做不好也不奇怪。看一看古代史。中国对印度的文化输出远远比不上印度对中国的文化输出（佛教！），虽然我们自认为中华文治武功胜于印度。中东对我们的文化输出也超过我们对他们的。欧洲文明就更不用提了。就连中国周边的东南亚，除了越南，其他地区在近代以前都受印度或伊斯兰文化影响更大。越南可是被中央王朝统治很久的，而印度和中东并没有统治过东南亚。可见他们的文化输出能力比我们强。到了近现代，朝鲜越南这种长期深受中华文化影响的地区尽然完全废止汉字。南亚和中东文明圈也没有这么扛不住西方文化输入，哪怕他们面对西方时政治上比中国弱得多。展望未来，中国的文化输出面临三大巨大障碍1绝大多数地球人使用拼音文字2绝大多数地球人生活的政治体制与中国不仅在实质上而且在表面上都有巨大不同3绝大多数国家对宗教的态度与中国极不相同。这三大障碍很难靠经济和娱乐克服。中国的文化输出或许未来可以赚到大钱（比如电影票房超好莱坞），但对外国人精神层面的影响很难达到欧美的地位（或者曾经的地位）。几十年后外国人可能觉得中国人即牛逼又奇葩。因中国牛逼而尊敬中国，但不会想变得像中国一样奇葩。总之，欧洲文化输出强，文化同化弱。满世界基督徒，英语为世界通用。但欧盟还是几十个中小国家，美国族群矛盾激烈。伊斯兰的风格与欧洲文化也类似，当然目前比欧洲弱势。中国文化输出弱，文化同化强。现在的文化输出完全和经济实力不相称，但掌握巨量文化同质化的人口。我觉得还是中国这样子更好。当然未来中国也很难大量地文化同化了。地球已经被文明体分完了。所以文化输出不行这件事会一直被不满中国的人拿出来讲，作为中国始终有些方面不如欧美的证据。我承认这一点，但同时我认为几十年后的多数中国人既会知道自己文化输出能力的上限不是很高，也会不遗憾，就像我们的天朝上国祖先一样。: 中国文化输出面临三大障碍,印度对中国的文化输出远低于中国,中东对印度对文化输出有优势。
