特朗普在法庭上做无罪辩护: 特朗普无罪辩护
60岁退休教师在医院做保洁，月薪3000元！年龄大了，找不到其他活做，每天见人都觉得羞耻网友现在老师退休的，退休金七八千了。有这么高的退休工资，如果觉得羞耻，为啥还要去干？: 退休教师做保洁引争议
笑死，还说人家没人敢娶，轮得到你娶？人家踏实肯干，能挣钱有事业，比你们这帮两万彩礼要了老命的强了不知道多少。: 男子娶妻遭拒,自称踏实肯干,能挣钱有事业,比两万彩礼强了。
小哥哥在國外酒店發現中國地圖被區別對待！然後，他出手了: 小哥哥在酒店<unk>中被待,他出手了。
新中国成立以来，消防队伍共765人被评为烈士改革转制以来，国家综合性消防救援队伍共79人被评为烈士。在这个特殊的日子里，我们一起告慰英烈，只想说一句，你们守护的那片土地，如今已绿树成荫。那一个个义无反顾的逆行背影，历史不会忘记，人民也不会忘记。: 消防队伍79人被评为烈士,历史不会忘记。
4月4日，重庆。马英九偶遇重庆大妈马先生好帅啊！马英九回那怎么办呢？: 马英九偶遇重庆大妈
这个被刀砍的图其实是兰州动物园的，不是乐乐，这个微博是结合我原视频说的。视频里的视频，指的就是我发的那个视频，用引号圈起来被刀砍，是因为我原视频里明确说了，这不是被砍的，我在哔站发动态的时候，也置顶强调了这个是涂的碘酒，因为审核一直没过，就在盯站，看到微博这边评论区有很多补充说了是碘酒，而我视频里也说了不是刀砍，我就没想重复评论。后来就被说是我造谣兰州饲养的大熊猫被虐待了。就说这只大熊猫蜀兰本身，它当年的事闹起来就是因为官方判定他确实没被善待，是不是虐，大家自有评判，但确实是照顾的很不好了，还是被救助走的（图58）。所以说，营销号用的这张图，不仅不是乐乐，反而是兰州被照顾的不好的另一只熊猫。: 被刀砍的熊猫并非乐乐,营销号使用这张图照顾了另一只熊猫。
那些赌博的人，后来都怎么样了？: 赌博的人后来都怎么样了?
日前，淇县婚改办印发《淇县婚俗改革实验区工作三年（2023—2025）行动计划》，明确提出了婚俗改革各项倡导标准，特别对彩礼、婚宴等项出台了限高标准，标志着全县婚俗改革进入深水区。《三年行动计划》要求，淇县全县各行政村（社区）要结合实际制定出宴会标准，纳入红白理事会制度章程。倡导少要或不要彩礼，原则上党员干部及公职人员婚嫁彩礼不得高于2万元，农村彩礼不超3万。倡导勤俭节约，禁止大操大办，结婚嫁娶亲属随礼农村社区不超过100元，城市社区不超过200元农村酒席每桌不超过350元，城市社区酒席不超过500元农村用酒每瓶不超过50元，城市社区用酒每瓶不超过80元农村用烟每盒不超过15元，城市社区用烟每盒不超过20元。娶亲车辆不超过8辆。更多详细内容请查看原文: 淇县婚俗改革实验区提出限高标准,娶亲车辆不超8辆。
仰光的富人区，都是高档的外国美食，日本的拉面，韩国的炸鸡，中国的麻辣烫日本拉面价格缅币，约合1725元人民币。在这消费的缅甸人精神气质都很好，跟之前唐人街的老百姓可以说是天壤之别。能感觉出缅甸这个国家，贫富差距挺大的。缅甸仰光: 仰光富人区消费缅甸人精神气质好
网友吵翻了！ 西湖醋鱼这道菜是有多难做？作为一名资深的杭州吃货，有记者曾参加过楼外楼的技术比武，其中就有西湖醋鱼。本以为同在一个厨房工作的同事，烧出来的味道应该大同小异，可是一品尝才知道，同一条件下，不同厨师烧出来的西湖醋鱼，各自竟有明显不同的色香味。想严刑逼供就喂他西湖醋鱼？百万重赏求定杭帮菜国标后，网友吵开: 西湖醋鱼难做,厨师烧出不同色香味。
你若记得，他便无悔！: 记得自己,无悔人生。
女子一家人因为意外残疾全家靠爷爷手艺支撑，爷爷在镜头下认真讲解自己钩织的婚纱娃娃。阿南: 残疾家庭靠爷爷手艺支撑,爷爷讲解钩织婚纱娃娃。
岁少年与81岁奶奶合葬，背后的故事让人泪目: 少年与奶奶合葬故事引人泪目
[哆啦梦害怕][哆啦梦害怕][哆啦梦害怕]: 害怕哆啦梦
每种职业都值得被尊重！再说人家这可是积阴德，坚持做自己，成全更好的自我！正如她本人所言，不想教育人们对这行的认知，也不希望这些网络的声音影响自己，超越寿衣行业本身，原本就与她的想法背道而驰。: 坚持做自己,超越寿衣行业本身。
重点大学毕业一直没找到工作 4月3日，湖南长沙。一本院校女生毕业后一直没找到工作，后来参加了茶颜悦色奶茶店的面试，结果没有通过。面试被刷后该女生一直心情不好，想到做奶茶这么简单的工作，公司都不要自己，严重怀疑自己的能力。后来出现身体不适去医院检查，被诊断为患有双向情感障碍抑郁症。4月4日，茶颜悦色回应招聘时对学历没有要求，面试时会问一些问题确认应聘者是否符合标准。: 重点大学女生在奶茶店面试被拒,患双向情感障碍抑郁症。
法院遗嘱无效，其母为第一继承人可取得遗产 4月2日，据南通中院消息，李先生30岁出头，未婚单身，幼年父亲不幸离世母亲改嫁，由爷爷奶奶一手带大。前几年体检中，李先生被确诊为癌症，他决定立遗嘱，把自己的财产留给年事已高的老人。他在4纸上打印我去世以后，我的所有财产归爷爷、奶奶所有，并盖上私章，签上名字后，写下年月日。李先生因癌症去世，其母亲认为自己是第一顺位法定继承人，要求分得遗产。法院认为，李先生在4纸上打印下遗嘱的内容，属于打印遗嘱的范畴，而打印遗嘱需要有见证人在场见证，自书遗嘱则必须由遗嘱人亲笔书写遗嘱全部内容，因此该遗嘱不能发挥法律效力。法院判定，李先生的母亲作为第一顺位法定继承人，可以取得李先生的遗产。李先生的爷爷、奶奶可以适当分得遗产。九派新闻: 法院裁定李先生遗嘱无效,其母为第一继承人可取得遗产。法院认为打印遗嘱不能发挥法律效力。法院判定李先生的母亲为法定继承人。
广东普法当今，国家保护公民信息的力度越来越大。因为查询公安平台信息被判刑的案例，越来越多。查询公安平台信息已经成为一项高度危险的岗位，必须特别慎重小心。01北京一名派出所警察被判四年，辅警被判刑一年半北京一派出所警长聂某，从公安系统内部网络查询公民个人犯罪记录5万余条获利。2019年2月，经两级法院审理，聂某因受贿罪被判处有期徒刑四年，辅警郭某因协助聂某实施犯罪，也获刑一年半。02河北一名辅警被判刑6个月河北一名辅警陈某某通过微信出售户籍信息、全国车辆驾驶人信息等。2019年4月，陈某某因犯侵犯公民个人信息罪，被铜陵市郊区法院判处有期徒刑六个月，并处罚金人民币二万元。03湄潭三名辅警被判刑三年零三个月、九个月、七个月2018年9月14日，湄潭县人民法院公开开庭审理了三名辅警利用工作便利出售公民个人信息一案，并当庭以侵犯公民个人信息罪，判处被告人刘某某有期徒刑三年零三个月，并处罚金人民币七万五千元判处被告人陈某有期徒刑九个月，并处罚金人民币一万五千元判处被告人罗某有期徒刑七个月，并处罚金人民币七千元，对三名被告人的违法所得予以追缴。04苏州一名辅警被判刑一年苏州一辅警非法查询并向他人提供报警人手机号码信息，导致报警人与被报警人双方发生激烈冲突，一人重伤。日前，苏州市虎丘区人民法院对此案依法作出判决，被告人李某犯侵犯公民个人信息罪，判处有期徒刑一年，并处罚金三千元。05四川一名民警被判刑四年，一辅警被判刑三年六个月四川雅安市雨城区刑警大队法医庞某、德阳市中江县交警大队辅警黄某某，非法查询公民个人信息并出售给他人，经达州市中级人民法院公开审理后，依法作出二审判决将庞某改判为有期徒刑四年将黄某某改判为有期徒刑三年六个月。06太原五名辅警被判刑三年太原市中级人民法院宣判，5名辅警因通过公安交警综合应用平台非法获取公民个人车辆信息提供给需要信息的客户，构成侵犯公民个人信息罪被判刑，其中1名主犯被判处有期徒刑三年。07宁波一名民警帮朋友查询信息被判一年三个月2018年4月8日，宁波市镇海区法院宣判，民警詹某帮朋友查询信息，结果朋友根据信息进行违法犯罪活动，詹某因侵犯公民个人信息罪被判处有期徒刑1年3个月，缓刑1年6个月，并处罚金1000元。08浙江一名民警好奇他人查询信息被刑事拘留近日，浙江民警池某利用职务之便，非法获取行踪轨迹、住宿信息、车辆信息等公民个人信息1000余条，涉嫌侵犯公民个人信息罪，被刑事拘留。09安徽一名辅警查询信息获利被判刑近日，安徽颍州区法院宣判，郑州市公安局交巡警支队的一名辅警郎某，非法获取公民个人信息，并向他人出售，情节严重，构成侵犯公民个人信息罪被判刑。10一名一级警员非法获取并出售公民个人信息被判刑大邑县公安局江派出所一级警员何正伟非法获取并出售公民个人信息问题。2019年12月至2020年11月期间，何正伟利用其职务便利，私自使用单位配发的数字证书和移动警务终端，非法查询车辆登记、户籍等公民个人信息出售给他人，获取违法所得共计元。2022年6月，何正伟受到开除公职处分。何正伟因侵犯公民个人信息罪被判处有期徒刑三年八个月，并处罚金人民币30万元。日常生活中，经常有人请求警察朋友帮忙查询一些别人的个人信息，普法君提醒大家，这些行为涉嫌犯罪。非因职务行为，在公安系统内部违规查询公民个人信息，在《最高人民法院、最高人民检察院关于办理侵犯公民个人信息刑事案件适用法律若干问题的解释》出台前，通常只做违纪处理，随着《最高人民法院、最高人民检察院关于办理侵犯公民个人信息刑事案件适用法律若干问题的解释》的出台，这些私下查询居民个人信息的行为，都将涉嫌犯罪。《中华人民共和国刑法》第二百五十三条之一违反国家有关规定，向他人出售或者提供公民个人信息，情节严重的，处三年以下有期徒刑或者拘役，并处或者单处罚金情节特别严重的，处三年以上七年以下有期徒刑，并处罚金。违反国家有关规定，将在履行职责或者提供服务过程中获得的公民个人信息，出售或者提供给他人的，依照前款的规定从重处罚。窃取或者以其他方法非法获取公民个人信息的，依照第一款的规定处罚。单位犯前三款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，依照各该款的规定处罚。第三百九十七条国家机关工作人员滥用职权或者玩忽职守，致使公共财产、国家和人民利益遭受重大损失的，处三年以下有期徒刑或者拘役情节特别严重的，处三年以上七年以下有期徒刑。本法另有规定的，依照规定。国家机关工作人员徇私舞弊，犯前款罪的，处五年以下有期徒刑或者拘役情节特别严重的，处五年以上十年以下有期徒刑。本法另有规定的，依照规定。《最高人民法院最高人民检察院关于办理侵犯公民个人信息刑事案件适用法律若干问题的解释》第三条向特定人提供公民个人信息，以及通过信息网络或者其他途径发布公民个人信息的，应当认定为刑法第二百五十三条之一规定的提供公民个人信息。未经被收集者同意，将合法收集的公民个人信息向他人提供的，属于刑法第二百五十三条之一规定的提供公民个人信息，但是经过处理无法识别特定个人且不能复原的除外。第五条非法获取、出售或者提供公民个人信息，具有下列情形之一的，应当认定为刑法第二百五十三条之一规定的情节严重（一）出售或者提供行踪轨迹信息，被他人用于犯罪的（二）知道或者应当知道他人利用公民个人信息实施犯罪，向其出售或者提供的（三）非法获取、出售或者提供行踪轨迹信息、通信内容、征信信息、财产信息五十条以上的（四）非法获取、出售或者提供住宿信息、通信记录、健康生理信息、交易信息等其他可能影响人身、财产安全的公民个人信息五百条以上的（五）非法获取、出售或者提供第三项、第四项规定以外的公民个人信息五千条以上的（六）数量未达到第三项至第五项规定标准，但是按相应比例合计达到有关数量标准的（七）违法所得五千元以上的（八）将在履行职责或者提供服务过程中获得的公民个人信息出售或者提供给他人，数量或者数额达到第三项至第七项规定标准一半以上的（九）曾因侵犯公民个人信息受过刑事处罚或者二年内受过行政处罚，又非法获取、出售或者提供公民个人信息的（十）其他情节严重的情形。如果你把警察朋友当朋友，在非法查询信息时，还是请免开尊口！: 国家保护公民信息力度加大,辅警利用网络查询公民个人犯罪记录、侵犯公民个人信息、犯罪案例和案件宣判。
