结局让人舒服！这精神状态进去不得尿检一下吗？: 精神状态需尿检
终于要回来了，这一路太不容易了！维权的路太艰辛了！大家共同的努力终于有好的结果！丫丫乐乐受苦了！回来好好享福吧！善待每一个生命就是善待我们人类！: 丫丫乐乐维权艰辛,呼吁善待生命。
受冷空气大风影响，预计4月12日8时至13日8时，新疆南疆盆地和东部、内蒙古中西部、甘肃河西和中部、宁夏、陕西中部、山西、河北、辽宁、北京、天津、山东、河南、安徽、江苏、上海、湖北中北部、浙江北部等地的部分地区有扬沙或浮尘天气。注意防范！: 冷空气影响新疆等地的部分地区有扬沙或浮尘天气,注意防范。
我们的生育适龄妇女在减少，一个孩子成长到可生育年龄至少要十八年，但以现在的人口走向，指望生孩子去救生育率其实是缘木求鱼。所以我有一计生妈妈。当我们可以成功生妈妈，妈妈就可以直接生更多的妈妈！这样一些空余的妈妈还可以生一些劳动力去承担非妈妈的工作！这些话乍一听有些令人乍舌，亦或是在逻辑上有些问题。但没关系，逻辑从来不是问题，客观条件和规律也不是。既然我们可以忽视房价、教育、医疗、收入、工作、养老等问题，直接用开放三胎解决生育问题，就一定可以用伟大的意志绕过更多客观规律，直接生妈妈。但有一个悖论问题，是如何都绕不开的，那就是，我生不了我的妈妈。那怎么办？妈还是要生的，只剩下一个答案了。砖家我生你妈。: 生育率悖论,计生妈妈可直接生更多妈妈。
九派新闻@九派新闻九派新闻: 九派新闻和九派新闻
通过女性发型百年变迁史记录不同年代女性的美，讲述百年发展中的女性力量。95后网友朵朵介绍，最耗时的是前期查论文和影像资料确认变迁史，自己负责妆发，男友负责剪辑拍摄，2人组成的主创团队花1个月完成了视频。最后的一桶墨水泼脏粉发女孩，也是想告诉那个抗争过网暴但最后自杀的女孩你的头发很美，你没有做错。: 女性发型百年变迁史,记录不同年代女性的美。
印度已经开始拆庙了。新德里的庙。: 印度开始拆庙
在春日里，认领了湖南省人民医院童心微愿活动中，每个在院治疗的儿童血液肿瘤科小朋友的心愿。这些本该在蓝天下自由奔跑的小朋友，却因为疾病，暂时只能呆在病房。为了让他们治疗的日子不寂寞，我们收集了孩子们一些小小的愿望，准备爱心小礼物，一一帮他们尽数实现。于我们，于所有关心牵挂着着孩子们健康的各界爱心朋友们，我们的心愿，始终都是希望他们重获健康，这份坚定的初心，也愿我们都能早日达成所愿，共同见证。: 认领湖南省人民医院童心微愿,收集孩子们心愿,准备爱心小礼物。
4月8日，一位网友称到山东淄博旅游时，从火车站打车到一家炒鸡店，打车平台显示只要15元，乘坐本地出租车时，遇上司机不打表，最后强行收了自己20元。4月12日，淄博大众交通运输有限公司张店分公司工作人员称，公司已对驾驶员作出批评教育，并且已经把他辞退了，主管部门也已经作出了有关处罚。红星视频: 山东淄博出租车被指强收20元司机被辞退
大家要理智一点看待这段历史，不要老纠结与过去，广岛和长崎也一样，应该迎接新一轮的核爆: 呼吁理智看待历史,广岛和长崎应迎接核爆。
其他九成是因为已经下班了拒绝接受采访吗[开学季]: 九成受访者已下班
的志愿者为孩子们准备了零食大礼包、和小礼物笔记本、提供4电影票及午餐。善源于爱，益重在行！让我们带着爱，战在益起，把每一次公益都做到实处，把每一份爱与善都传递出去！公益路上，山城益虾行胜于言，继续努力！！玖少年团肖战@玖少年团肖战肖战工作室@肖战工作室肖战粉丝公益项目组@肖战粉丝公益项目组: 公益志愿者为孩子们准备了大礼包和小礼物,善源于爱,益在于行。战在益起,把每一份爱与善都传递出去。
即使鼓励生三胎，年轻人为什么都不愿意生？著名经济学专家立法专家朱少平说道从80年代到现在，房价涨了300多倍，而我们的收入只增加了5倍。打工和工薪平均工资多少？说少一点的五六千，多一点的七八千，真正上万的很少。随后，他表示老百姓不敢消费啊，第一要买房，第二要看病养老，另外还有失业，子女受教育。如果增加工资，增加1倍2倍5倍，干嘛不出去消费啊？最后他建议到，在这种情况下，就要大幅的提高居民收入。: 经济学家朱少平建议大幅提高居民收入。
据澎湃新闻60岁以上的超龄农民工，没退休工资，进不了厂，又难找到零活。: 超龄农民工生存困境
中国军队致敬英雄！被残忍淩迟牺牲的英雄警察陈铭生在全程清醒的情况下被削皮碎骨，抽筋灌毒，两条小腿上的肉全被削掉，两个眼球被捣碎，下巴被击碎，8根手指被砍掉，被活生生折磨45小时后英勇牺牲，谁也不知道这45个小时他是怎么熬过来的，有多么痛苦。妻子因悲痛欲绝而殉情。我们之所以看不见黑暗，是因为有人正竭尽全力把黑暗挡在我们看不见的地方，生前不能露脸，死后墓碑无名。拒绝涉毒艺人复出，拒绝涉毒艺人以公众人物出现在大众视野，是对缉毒英雄的尊重！: 致敬英雄,被削皮碎骨,拒绝涉毒艺人复出,尊重缉毒英雄。
咱们回想一下当初是谁自以为是地要放弃自己的祖国？当初是谁振振有词地表态自己不是中华儿女？当初是谁理直气壮地支持外国势力而选择违法达义？天作孽、犹可违自作孽、下一句是啥我忘了，烦请大家思考后指教我。机会，不是必然的角色，可以取舍的道路，自己选择的。: 反思当初是否支持外国势力,呼吁思考选择的道路。机会不是必然的角色,选择自己选择。
假如，出台以下措施，你会生孩子吗？1二胎三胎家庭孩子高考加10分。2生一个孩子补贴2000元每个月，直至成年。3生三胎可以直接申请一套保障房。4二胎三胎家庭考编考公加10分。5对于未来出台的房产税，二胎三胎家庭免交。: 生育政策出台,二胎家庭高考加10分,生一个孩子补贴2000元,生三胎可申请保障房。
视频版机场发火同天菜汤柿叽粥: 机场火同天菜汤
4月11日，事发湖南。农民工因纠纷与管理层发生口角，被黑衣人拿水管喷射头部，全程不敢还手网友看哭了，这是谁的父亲，又是谁的儿子，太欺负老实人了！: 湖南农民工遭黑衣人喷射头部
专家别建议了，先把房医教养解决了，可能会促进出生率，新生儿嫌少，大学生嫌多，35岁员工嫌老，60岁退休嫌早，一辈子都被嫌弃: 建议解决房医教养问题,促进出生率。
据侵华日军南京大屠杀遇难同胞纪念馆@侵华日军南京大屠杀遇难同胞纪念馆消息南京大屠杀幸存者郑锦阳于2023年4月11日晚去世，享年95岁。在南京大屠杀期间，郑锦阳的曾祖母、姑父、两个表弟、以及姨舅被日军残忍杀害，居住的祖宅被日军烧毁。岁月流逝，失去亲人的痛苦伴随其一生。愿老人一路走好。侵华日军南京大屠杀遇难同胞纪念馆: 南京大屠杀幸存者郑锦阳去世,曾祖母、姑父和姨舅被日军残忍杀害,祖宅被烧毁。
我在很想你想你的风还是吹到了我在等你很久了所谓网红路牌纵然相隔万里，也是大同小异。从最初惊鸿一瞥排队合影，到现在不胜其烦躲之不及，这到底是浪漫不渝还是土得掉渣？戳文章评论区留下你的看法。当想你的风吹遍大江南北: 网红路牌,浪漫不渝还是土得掉渣?戳评论区留言,想你的风吹遍大江南北。
评论已经关了，帖子不知道会不会删，截图记录一下: 评论关闭,截图记录
女孩考研成功却无人分享: 考研成功无人分享
近日，一段外国博主发布的视频引起网友热议。这段机场视频地点标注为日本，一些外国博主盛赞日本机场服务，表示要向他们学习。但翻车却来得猝不及防很快就有网友提醒，视频拍摄地点其实是中国郑州（观察者网）: 外国博主盛赞日本机场服务,但拍摄地点在中国郑州。
南方的回南天和北方的沙尘暴大家选哪个？[笑]: 寻找回南天和北方的沙尘暴
今年如果世界缺水，对我国是超级重大利好，因为全世界唯一的有最高水塔的国家只有中国，适当的缺点水，今年开春从北方来的沙尘预示我的这个猜想，不管你多厉害的国家，没有水什么都不要谈，这几年全世界疯狂大搞水利的只有中国，干旱可以征服一切: 干旱对中国是重大利好,全世界唯一最高水塔国家只有中国。
俄罗斯从5月开始对男性关闭边境: 俄罗斯对男性关闭边境
4月10日，青岛平度。老百姓挣钱不容易啊，都是纳税人的血汗钱，就这么修了挖，挖了修，科学性呢？前瞻性呢？: 纳税人的血汗钱,修了挖了修,前瞻性呢?
很巧，今天纽时也有一篇讲述了一些年轻人的故事。是有关最近孔乙己脱下长衫的话题（引号里面我自己加的，不是的原话）。在中国，年轻人正在放弃体面工作，转去做体力工作者一些摆脱了中国艰苦的企业文化的人表示经济上的损失是值得的。我厌倦了那样的生活按照平常的标准，成功了。她于2018年从中国一所顶尖大学毕业，在深圳租了一套公寓，辗转于一系列名声响亮的公司当视觉设计师，当时中国的青年失业率正创下历史新高。但她去年辞职了，她现在在一家连锁宠物店做美容师，薪水是以前的五分之一。她上班连续站几个小时，制服替代了她曾经为上班精心挑选的衣服。她很高兴。我厌倦了原来那样的生活，我觉得自己没有从工作中得到什么，刘女士谈到她以前的工作时说。她说她的创作自由度很小，经常加班，感觉自己身心健康状况每况愈下。所以我想，没有必要了。刘女士是一种在中国引起越来越多关注的现象的例子之一年轻人放弃体面却高压的白领工作，改做体力劳动。这种新趋势的规模难以衡量，但广泛分享的社交媒体帖子里记录了技术人员当杂货店收银员会计师改在街头叫卖香肠内容经理改送外卖。在类似的应用程序小上，我的第一次体力劳动话题的浏览量超过2800万。支持者喜欢可预测的工作时间，和竞争较少的氛围。他们承认改变需要做出牺牲——刘女士说她在辞职前存了大约美元，并大幅削减了开支——但他们说，摆脱以前工作带来的精神枯竭非常值得。刘女士说，她更喜欢与不合作的狗扭打带来的身体上的疲惫，而不是仔细研究她没选择权的设计任务带来的精神损耗。许多人还表示，他们正在寻找轻体力劳动，而不是像建筑或工厂工作这样的高强度体力工作。在世界各地，疫情促使人们重新评估他们工作的价值——比如美国的大辞职浪潮。但在中国，滋长年轻人幻灭的力量尤为强烈。很长的工作时间，和霸道的经理随处可见，经济却又在放缓，这让只知道爆炸式增长的这一代向上流动的前景变得黯淡。然后三年的清零，迫使许多人忍受封锁、裁员，并意识到工作再努力，他们对自己的未来的掌控依然如此微不足道。大家在精神上来说可能都承受不了了，因为在疫情期间我们看到了很多不公平和奇怪的事情，刘女士说。换工作的趋势引发了新一场关于激烈竞争是否徒劳的争论。两年前的躺平，辞去工作享受生活的号召在网上广为流传。批评者指责躺平者浪费了父母的投资，放弃了帮助中国成为超级大国的勤奋。但支持者则将他们的幻灭归咎于只有一条道路才能成功的单一的价值观体系。从那时起，白领工作竞争变得更加残酷。公司削减了招聘人数，但预计今年的大学毕业生人数将创下历史新高。据官方统计，去年夏天16至24岁人群的失业率接近20，其中大学毕业生的失业率更高。因此，与其更加努力地竞争，有些人发现传统上不那么被认同的路开始变得有吸引力。学习和积累知识的目的不是为了找到一份令人刮目相看的工作，而是为了有勇气接受更多的可能性，一个网上论坛的描述中如是写道，该论坛邀请了多名成员，请大家分享街上摆摊有多累，或描述他们当餐厅招待的经历。去年，当25岁的拿到硕士学位后在北京找到一份咨询工作时，她立即接受了。她为自己在如此强的竞争中脱颖而出而自豪，她想看看自己还能走多远。但众所周知，中国的企业文化要求苛刻，互联网公司的员工死亡引发了人们对过度劳累和心理健康的质疑。很快，王女士说，她陷入了恶性循环她因繁重的工作而产生焦虑，但又忙得无暇减压。由于旅行限制，她也将近一年没有见过她的父母了了。去年秋天，她辞职了。她现在在中国东北老家沈阳的一家咖啡店工作，收入是之前的五分之一。她和父母住在一起，还通过自由插画赚取外快，这是她在北京工作时放弃的爱好。王女士将自己的家庭背景描述为舒适的中产阶级，她承认自己很幸运能够负担得起这样的选择。她说，如果有一天父母需要经济支持，她会回到白领工作。但在那之前，她很珍惜现在挑战长期以来的关于成功的观念的机会。每个人都认为征服一个项目或搞定一个客户是一件了不起的事情，我曾经想强迫自己相信这一点，她谈到她以前的工作时说。但她发现，与顾客交朋友或因制作一杯精良的拿铁咖啡而受到称赞时，她已经找到了足够的满足感。我不需要别人告诉我我的未来会怎样。做出改变的人可能仍然是极少数。许多在网上论坛发帖的人都只是在提问，而不是跳槽。一些离开高收入职位的人也承认，他们不知道自己在新工作中会待多久有人说他们现在花的比赚的多。网民抨击换工作的人太天真了，暗示他们装穷，或者指责他们从受教育程度较低的人那里抢蓝领工作。但批评也转向了相反的方向中国官方最近将失业问题部分归咎于受过教育的年轻中国人太不愿意从事蓝领工作，暗示他们被宠坏了。社交媒体用户反应激烈，指出社会长期以来将教育看得高于一切，特别是自中国经济改革开始以来，将体力劳动视为需要摆脱的东西。上海金融与法律研究院的聂日明说，问题不在于年轻人认为这些工作配不上他们，而是因为低工资和持续存在的歧视，不会提供真正的过上更好生活的机会。在中国能提供更高薪的蓝领工作，并给予这些工作很高尊重之前，年轻人的选择是务实的，而不是挑剔的。如果社会不多元化，就不可能期望学生做出多元化的选择，他说。甚至一些盛赞自己新体力工作的中国年轻人，最初也没有打算找这些工作。24岁的去年夏天在被要求连续工作30天后，辞去了在深圳的建筑设计工作，她希望再找一份办公室工作，但努力了三个月也没有成功，她的积蓄越来越少，最后不得不找了一份大学宿舍的保安工作。起初，她不好意思告诉家人或朋友，但她逐渐喜欢起来这个工作12小时轮班虽然很长，但很悠闲。她能准时下班，免费住宿舍，每月约870美元的工资甚至比她之前的实得工资高出约20——这也侧面反应大学毕业生过剩后该群体工资被压低了。但江女士表示，她的最终目标还是回到办公室，希望在那里找到更多的对脑力的挑战。她一直在利用安保工作节奏缓慢的机会学习英语，希望这能帮助她找到下一份工作，也许是外贸公司。我实际上并没有躺平，江女士说。我把这段时间当作休息、过渡、学习、充电和思考人生方向的时间。——解释一下，原文很长，不知道大家是不是没有看的很仔细就开始批判。1原文章没有任何目的性，没有任何立场，没有任何建议，没有任何指责，更没有想帮你解决任何社会问题，只是对一些例子和现象进行了报道。2原文章描述人群是挣扎的白领，而不是普罗大众体力劳动者，只是讲了现在有些白领在探索不一样的选择，并没有说是普遍现象，或是有代表性的事情，还专门说到了这种情况现在还很少。3西媒很常见的一种报道方式，是会去深度采访具体真实的人，让他们讲出自己的故事和想法，但是一般很随意，并不意味着被采访的人一定有广泛代表性。国内媒体报道方式完全不同，每个新闻都脸谱化，有强烈的倾向性和意图，都在试图传达某个具体信息。读多了这种新闻可能会导致很多爱国人士看见西媒报道了负面新闻，采访了几个人详细描述自己经历和心理历程，就认为是在别有用心抹黑中国。以及这条是不是有一点类似的反向应激反应？认为讲述了这几个故事，就代表也认同孔乙己们就是应该需要脱下长衫和体力劳动者抢工作？其实完全没有啊，这样拓展反而会误会作者的意图。不知道有没有说清楚。。: 年轻人放弃体面工作,中国经济放缓,美国公司裁员,中国青年失业。
