机场航站楼门口偶遇鞠婧祎鞠婧祎这腰比我腿都细本人真的好美！！: 机场偶遇鞠婧祎
到底是谁在放不下呢。: 到底是谁在放不下呢
勋表都要出来啦，有些朋友资历章还看不懂呐[]最后再学一遍吧，即将成为历史了: 勋表资历章
画的太传神了，可以说一眼就认出是谁了: 太传神了一眼认出是谁
重要通知！: 重要通知
抖人从不在意暴露自己的智商: 抖人从不在意暴露自己的智商
在加州，刚刚发生了一起令人瞠目结舌的怪事，一位屋主发现自己墙壁有异样，切了几个小洞一看我勒个去，掏出了317公斤的橡果足足装了八麻袋看了一下报道，并没有说肇事鸟是谁但我猜测可能是橡果啄木鸟有兴趣的朋友可以移步看我之前关于它们的的日历: 橡果啄木鸟日历
李钟硕现在是这样，你爱他可以，别逼着粉丝也爱他，求求了，我们粉丝只爱一个美女就够了。这个世界不是只要有个男的就可以爱的，这个世界不是所有人都可以包容一个靠脸吃饭的男的胖成的，这个世界不是活该女人挨骂的: 钟硕:这个世界不是活该女人挨骂的
伟大的梦想家敬自由！: 伟大的梦想家敬自由
【】非常适合马尾造型的，是初恋的感觉！: 非常适合马尾造型的,是初恋的感觉!
和男朋友开钟点房，因为提前进去了十几分钟，就被男朋友骂哭了: 提前进房十几分钟就被男朋友骂哭了
看他们脸上的表情，个个从容，没有一点畏惧。真乃英雄也。: 他们脸上的表情,个个从容,没有一点畏惧
白开水亮晶晶唇蜜希望你中意: 开水亮晶晶唇蜜希望你中意
上海难看水印啦啦啦: 难看难看水印啦啦啦
网友女朋友给我发的，什么意思？: 女友给我发的,什么意思?
毛晓彤和吴磊喝水，一个突出了贵族，一个突出了水[]: 晓彤吴磊喝水一个突出了贵族
亲兄弟闹矛盾反目成仇，要把房子一分为二，本是同根生，相煎何太急！: 亲兄弟闹矛盾反目成仇要把房子一分为二
我的母语是: 2014年2月25日电视纪录片看点央视新闻联播
我是拾柒呀: 拾金不昧
人力摩天轮: 摩天轮-马航
莱昂纳多和19岁现女友在2003年的合照: 昂纳多和19岁现女友在2003年的合照
接吻被说嘴有中年人的味道。哈哈哈哈哈哈。: 吻被说嘴有中年人的味道
年轻人，不要看见一些封面就立马进来，以后的路还很长，一定要学会克制，清心寡欲，不要在本该奋斗的年纪里堕落下去，别问我为什么进来，我是为了劝在座的各位。道叔: 年轻人不要看见一些封面就进来
真就叫你拍出了妻妾成群的感觉: 你拍出了妻妾成群的感觉
居然还有这种链接的吗[哆啦梦吃惊][哆啦梦吃惊]: 居然还有这种链接的
广西灵山县男子劳某，因在微信群里发信息说三里江有狗查车，被认定为侮辱交警并被拘留5日。: 男子微信发“三里江有狗查车”被拘5日
人死后，尸体多久会腐烂？: 死后尸体多久会腐烂?
艾伦吐槽说陈乔恩每次撸她的嘴皮，然后把嘴皮拿下来送给我，我真的了。陈乔恩哼，艾伦不接受我的嘴皮。张云龙我也不接受，谁会接受嘴皮啊？陈乔恩我真的可以撸下来一整个嘴皮，完整的。张云龙完整的？陈乔恩我下次撸嘴皮可以做一个视频。刘芸太厉害了，这是特异功能唉。陈乔恩之前在直播时就现场撕嘴皮给粉丝们看，而且她还会收藏自己撕下来的嘴皮，有一个盒子嘴皮了她还把那一盒送给老公: 陈乔恩下次撸嘴皮可以做一个视频
看看新闻全球眼: 新闻联播(2013年2月25日)
家族2023新年音乐会瞬间: 家族2023新年音乐会瞬间
《唐朝诡事录》第二季开工，原班人马大上分[赢牛奶]！: 《唐朝诡事录》第二季开工
哟哟学院最会作词的蒲词客蒲熠星@蒲熠星来啦！大大的眼睛不会是发现什么了吧: 学院最会作词的蒲词客蒲熠星来啦
拿不下你我的问题上海: 拿不下你我的问题上海
公司门口贴的，看起来是不是也有点道理。: 门口贴的,看起来是不是也有点道理
《狂飙》里的高晓晨，演技差成为全剧败笔？虽然这部热播大剧已经完结，但网友的讨论没有结束，特别是关于剧中高启强儿子高晓晨的吐槽，不少网友觉得这位星二代是全剧演技低谷唯一败笔，岳阳发文告别角色时，回应了关于自己整容和演技差的吐槽，态度还算真诚。他说自己确实没打针，对演技差的批评，表示真抱歉，我会努力的，还有人问他是不是现实里没叛逆过，他也承认说自己胆子也小。岳阳，现实里是吴刚的儿子，跟妈妈岳秀清的姓。一家三口在《狂飙》里都出演了，吴刚和岳秀清分别演徐忠和徐忠妻子，因此有网友说岳阳只演徐忠儿子就可以了，戏份不那么重，也不至于在全剧演技派的对比下，暴露出来演技青涩表情控制力差的缺点。《狂飙》里，星二代有好几位演杨健的王骁，妈妈是老牌影后王馥荔演唐小龙的林家川，爸爸是知名编剧林和平演李青的王宏，爸爸是导演王永泉。这几位个个演技都不差，剧中表现可圈可点。爹妈领进门，修行在个人，星二代还得好好磨练演技，才能赢得观众的认可啊！: 《狂飙》星二代演技差
1983年，邓公途经唐山时，突然冲来一群手持菜刀的青年，将车团团围住，负责保护邓公的警卫被砍死两个，事后邓公大怒，在全国上下展开了严打行动。这年夏天，邓公要从北京前往秦皇岛考察，因为交通的原因，需要路过唐山。在车辆行驶到唐山时，从四面八方冲出来一群手持菜刀的青年拦车。他们将邓公的车队团团拦住，负责保护邓公安全的警卫上前沟通，没想到遭到了对方的殴打。为了保护邓公的安全，警卫队立即和这群人展开了斗争。虽然警卫队员身手敏捷，但是对方人数太多，且携带武器。一时之间，警卫队也陷入了危机。最后终于在唐山公安局警察的帮助下，才将这群人拿下，而负责保护邓公警卫被砍死两个。经调查，这群持刀青年都来自唐山当地一个恶名昭著的帮派菜刀帮。菜刀帮在唐山当地横行霸道欺压百姓敲诈勒索，当地百姓深受其害。后来在唐山警方的打击下，迅速逮捕了菜刀帮成员600多人。其中有案在身的罪犯也被判处死刑，成功剿灭了菜刀队。是当时中国严厉打击犯罪的典型案例。新中国成立以来，反腐打黑是国家密切关注的问题。20世纪90年代，各地区帮派层出不穷，大量的帮派造成了社会动荡。1983年，内蒙古自治区发生了震惊全国的特大犯罪案件。几个还在读初中的不良青年酗酒后，残忍的杀害27名群众，在这27名群众中有一位70多岁的老人和一名2岁的婴幼儿。除此之外，他们蓄谋抢劫财物企图制造爆炸等等。警察和法律在他们眼中视若无物，在他们的眼中暴力可以获得全部。但是这些人被捕之后，判决时只有两个人判处死刑，其他罪犯都因为是未成年人，所以被判入狱改造。结果一出，便引起了人民群众的议论。一时之间整个地区人心惶惶，被害人家属和当地群众纷纷向法院反映，要求判处其他人员死刑。但最终还是维持原判。1983年，邓公去无锡视察工作，当地干部江渭清跟他说在城里女性晚上都不敢出门，现在这个社会好人怕坏人，这样下去这个社会该变成什么样子，那里还有什么公平正义可言。听完这句话，邓公没有表态，但是他深知，整顿社会治安问题不难，只是要痛下决心。同年7月，邓公接见了时任公安部部长刘复之。在汇报过程中，刘复之表示对犯罪分子可以分别采取收容审查拘留逮捕等方法进行惩罚。俗话说，重病下还得下猛药，如今社会上各类犯罪分子已经十分猖獗，如果还是用这样不痛不痒的方法，怎么能让犯罪分子产生畏惧呢。邓公对刘复之说为什么不可以通过组织一次两次多次严厉打击刑事犯罪活动的战役来震慑犯罪分子。不久后，全国上下便开始了一场大规模的自上而下的严打行动。在国家的严厉打击下，三年多的时间里有197万个犯罪团伙落网，876万人被查处，1747万人被判刑。这次严打，不仅展示了国家对犯罪0容忍的态度，而且还维护了法律的尊严。如今中国治安环境，在世界来说，居于前列，这跟当年的开展的严打不无关系，也跟负责治安管理的无数人的努力分不开。: 邓公对刘复之说
哇哈哈哈哈我哥这裤子装不下啊: 我哥这裤子装不下啊
非常怀疑《三体》导演根本不知道对于观众来说，什么是好看的电视剧。这样一幕在昏暗灯光下，众演员用朗诵体念完每个角色对白的场景，一共持续了25分钟，这集加上片头片尾才50分钟。知道这叫还原原著，特别特别还原，还原到不看画面就是听有声书一样。花那么多钱拍出来干啥，直接看书不就行了。: 《三体》还原原著
不准活着从视频里出去不准: 准活着从视频里出去不准
浪漫告白季: 浪漫浪漫季-上海
论鞋子到底有多少种用法，最后一种真是有点奇葩[欢乐熊出没]新月: 新世界:鞋子到底有多少种用法
烟火向星辰，所愿皆成真这是昨晚我在海边放的小烟花（新学期开始了，哎之前落下了很多功课，但愿不会焦头烂额）: 昨晚我在海边放的小烟花
愿所有美好，如海边清风，常伴世间。《与君初相识恰似故人归》: 《与君初相识恰似故人归》
追星顺便演个出: 追星顺便演个出
睡不着的来评论领取个烧杯丸啊。(: 睡不着的来评论领取个烧杯丸
[哆啦梦吃惊][哆啦梦吃惊][哆啦梦吃惊][哆啦梦吃惊]鲨鱼原来可以长这么大的嘛雩歌: 鲨鱼原来可以长这么大的嘛雩歌
中国若能够修改海洋法，让美方舰艇无害通过，美方可能就会放弃航行自由行动。这是清华大学战略与安全研究中心研究员周波提出的观点。在当前台海危机日益严峻，美日韩北约等相关方都在台湾和南亚搞事。几天前，美军四星上将公开叫嚣2025年中美必将交战之际，周研究员提出让中国修改海洋法，给美国军舰去自由航行，这样南海冲突就会降低，观点可谓是让人大开眼界。2月4号，周波称，2022年底中方战机与美方侦察机擦肩而过的事件表明南海要比台海危险得多。周波还特地强调世界上大多数国家都允许外国军机在本国领海内无害通过。上世纪80年代末，美苏签署协议，同意对方军舰可以无害通过本国领海，然后海上争霸就结束了按照这个逻辑，先把南海让美国航行自由，然后再把台湾海峡慢慢也给美国自由通行？真是想得出来这么好的主意，美国人拍手称快！中国在南海从来都是按照国际海洋公法实行非军事船只自由通行。让美方军舰在我国南海自由通行，今年一月份美国就有64架军机到南海进行侦察活动，祈祷美方放弃自由通行的挑衅行动，这不是白日做梦吗？查了一下周大校的履历，他曾是国防大学外军学员硕士研究生导师，中央军委国际军事合作办公室安全合作中心主任，后到清华大学战略与安全研究中心任研究员。他是国际军事战略研究方面大专家，没想到研究来研究去，最后研究的结论就是美国要干嘛我们就配合，然后祈祷美国良心发现。不想想就一个民用气球飘过去美国都能炒上天，最后还总统下令击落！你弄几搜舰船到美国领海看看美国给你自由航行去？: 周波:让美国修改海洋法
