夕阳和宝宝[送花花]: 夕阳和宝宝[送花花]
4月6日，一份网络文件称，4月4日下午，4名游客（3男1女）在天门山景区山顶西线玻璃栈道上翻越安全护栏跳崖，其中3人跳下，1人被及时阻止后紧急送医，但因其跳崖前已经服毒，经抢救无效死亡。该文件显示的报送单位为张家界市永定区人民政府，接收单位为张家界市政府总值班室。记者从张家界市永定区委相关部门获悉，市里成立了专案组处置此事，公安部门也正在调查，调查清楚后会发布通报。张家界市委相关部门工作人员表示，当地政府部门确实流传出一份文件通报，他们已关注到此事，相关部门正在展开调查。极目新闻@极目新闻极目视频: 张家界4名游客因跳崖服毒死亡,报送单位为张家界市政府总值班室,公安部门正在调查。
近日，由北京西开往四川成都东的89次列车上，一3岁幼童突发高烧，体温达396，需紧急救治。广播寻医无果后，列车长立即联系调度指挥中心，请求破例就近停靠，并安排120急救人员提前赶到站台接应。因送医及时，目前幼童已恢复正常。西南铁路@西南铁路西南铁路: 3岁幼童列车上高烧,列车长破例就近停靠,帮助救治。
对于很多人来说，8小时工作已经名存实亡了。在移动互联网技术迅猛发展、万物互联的今天，移动设备迫使人们将工作与上班无缝融合，即便你已走出办公室，人却还在上班，你依然随时要等待被手机里头的上属召唤，8小时工作制沦为了遥远的传说。来聊聊，你还是8小时工作制吗？拒绝加班集体辞职，打工人都怒了: 8小时工作制,你支持吗?
审理 2020年11月2日下午，重庆市南岸区锦江华府小区一男一女共谋将两名小孩从高楼坠下，致两名幼童死亡。因辩护人申请，原计划2023年4月3日二审开庭的重庆姐弟坠亡案，延期到今天4月6日开庭审理。@正在直播，共同关注的微博直播: 重庆姐弟坠亡案延期审理,正在直播。
检方撤销盗窃文物指控 6年前一度在中美两国间引发极大关注的在美展出兵马俑拇指被盗案有了新进展。近日，美国男子迈克尔罗哈纳已表示认罪。作为交换，检方撤销了刑期高达30年的盗窃和藏匿博物馆文物指控。2017年，迈克尔罗哈纳在醉酒后掰断了费城富兰克林博物馆内的兵马俑手指，并将其偷走。此事引发中国人民的极大愤怒。2019年，该案第一次开庭审判，罗哈纳仅承认醉酒错误，陪审团多数竟赞成其无罪。但最终因陪审团意见不一致，当地法院判决审判无效。此后因疫情关系，案件审判推迟到今天。报道称，上周提交的法庭文件显示，罗哈纳已与检方达成认罪协议，同意承认在州际贸易中贩运考古资源的指控，并将于4月17日在费城联邦法院出庭接受判决。据了解，该罪名较轻，最高可判处两年监禁和美元（约合人民币1376万元）罚款。（综合新闻、纽约邮报）看天下@看天下看天下: 美国男子涉嫌偷兵马俑手指,被检方撤销盗窃文物指控,最高可判两年监禁和罚款。
男孩调皮拽到冰箱，服务员不顾手中热菜上前挡住！阿南: 男孩拽到冰箱,服务员上前挡住。
200斤二师兄在高速上跳车，下一秒遭到连环撞击！偏执狂: 2斤二师兄遭连环撞击
目前已在法院审判阶段，已介入调查。顿静静父亲受贿已经被抓，但是行贿的人还逍遥法外！你看懂了吗？: 顿静静父亲受贿被抓,行贿者逍遥法外。
每到这个时候，就想拉某人来看看: 想拉某人看
教体局已第一时间介入调查 近日，网曝江西吉安鹭洲府邸幼儿园一男孩在园内死亡。男孩家长称，幼儿园老师午休期间玩手机，没有看管好孩子。6日，涉事幼儿园回应称，孩子自身有疾病，家长隐瞒病情。园方提出走司法程序，但目前家属不同意。吉州区教体局工作人员表示，已第一时间介入调查，后续会有情况说明。: 江西一幼儿园一男孩在园内死亡,涉事幼儿园回应家长隐瞒病情,园方提出走司法程序,家属已介入调查。
全家总动员助女子拍，所以你说，美国能禁的了吗？那是与全民为敌！[笑][笑][笑]: 全家动员助女子拍,美国能禁吗?
此前，姐弟俩的生父张波及其情人叶诚尘均被判处死刑。4月5日是清明节，坠亡姐弟的母亲陈美霖前往天台寺祭奠。在社交媒体上，陈美霖更新签名说，望留住人伦道德底线，望维持原判。陈美霖说，6日她将出席二审，其实她现在特别疲惫，但作为妈妈，她要坚持到最后，想为孩子做最后一件事。: 陈美霖祭奠张波及其情人,呼吁留住人伦道德底线,坚持到最后。
据韩媒报道，为从根源上扼杀校园暴力的苗头，韩国执政党及政府决定研究相关方案，将校园暴力施暴者不良记录与高考挂钩，并伴随至其就业。此外，执政党和政府还就加强对受害学生的援助、扩大教师权力、提高师生对校园暴力的责任意识、加强道德艺体教育、及时将施暴者与受害者分开等实际方案进行了探讨。韩国执政党和政府将以该会议讨论成果为基础，在由韩国国务总理主持召开的校园暴力对策委员会上敲定及公布最终方案，并尽快推进《预防及应对校园暴力法》《行政审判法》等有关法案的立法。: 韩国将校园暴力施暴者不良记录与高考挂钩并伴随就业。执政党和政府将加强对受害学生的援助、扩大教师和提高师生对校园暴力的责任意识。
4月5日，网传中国电科成都区一员工被指定节日加班，在微信群中大骂领导的截图，引发热议。对此，成都市人社局直属的劳动保障监察队工作人员表示，正进行调查核实，首先会进行立案，其次进入到用人单位进行实地调查取证，若属实按劳动法处罚。此外，四川省总工会已对此事启动程序跟进。（图据新黄河）: 中国电科员工被指定节日加班,成都市人社局正在调查核实。
原来外卖的包装费还可以退: 外卖包装费可退
山东济宁外卖小哥带孩子送外卖，烧烤老板抓起一把肉串塞给孩子，老板说再苦也不能苦孩子，这一幕很令人动容。: 外卖小哥送外卖,烧烤老板抓肉串塞给孩子。
4月4日，湖南。男子为带自己的狗狗看《忠犬八公》，沟通了七八家影院才得以实现。如何看待带宠物狗去影院行为？: 男子为带狗狗看《忠犬八公》沟通七八家影院
英国议员引用毛主席语录！: 议员引用毛主席语录
4月4日，黑龙江哈尔滨。打鱼老人不慎落水，一群少年一起救下老人。网友为少年们的勇敢点赞！: 少年勇救打鱼老人
4月5日，山东威海一蜜雪冰城店内发生刑事案件，一女子被害身亡，另一名男子受刀伤，疑因情感纠纷导致。威海市立医院工作人员告诉，受刀伤的男子已经抢救过来了。另据威海市殡仪馆工作人员介绍，昨日下午他们出车到蜜雪冰城店内拉回了一具女性遗体。辖区皇冠派出所工作人员表示，昨天他们出了警，具体情况不方便接受采访。山东威海一蜜雪冰城店内发生刑案，一名女子遇害，一男子受刀伤送医抢救极目视频: 山东威海发生刑案,一女子被害,一男子受刀伤。
4月4日，贵州毕节，老人病危全村邻居自发上门看望守夜陪伴。据老人的儿子介绍，父亲是从医院回的家，村里的人不约而同过来看望，一直坐到晚上十一二点，这是最后的陪伴。: 贵州毕节老人病危全村邻居守夜陪伴
[加油] 扭扭车男孩张亮参加高考取得超理工科一本线44分的成绩，其自强不息的事迹感动了很多人。近日，好消息传来，张亮可以站起来了！一次偶然的机会张亮接触到仿生外骨骼后，自己设计了一套人体下肢外骨骼雏形。借助这套器具，他实现了站立并完成了行走。第一次走了16米，张亮说虽然膝盖比较疼，但视角的改变让他非常震撼。光芒视频@光芒视频光芒视频: 扭扭车男孩张亮获得超理工科一本线44分,自己设计下肢外骨骼,实现站立并行走。
建议以后每周三都放假，这样周四也没那么难熬了，全面提升国民幸福感，日子都更有盼头了，心酸打工人平凡的日子中迎来了曙光[开学季][开学季][开学季]: 建议每周三放假,提升国民幸福感。
想让社会了解残障群体 河南洛阳，57岁的盲人按摩师史欣欣因写诗引起网友关注。史欣欣从小就喜欢文学，在手术意外导致全盲后开始从事盲人按摩师的职业，在工作之余诗歌成为她触摸生活的方式，史欣欣表示希望能通过写诗，让社会看到残障人士不断向上的精神面貌，日前其作品被收录入《一个人也要活成一个春天》诗集。: 盲人按摩师史欣欣因写诗引起关注,作品被收录入《一个人也要活成一个春天》。
4月4日，4人（3男1女）相约天门山跳崖，还是服毒后跳，三个人已经跳下去了，一个人被拦住，服毒的没救过来，4人全部去世。警方看到死者遗书，认定自杀。决绝至此，肯定是有预谋有协同的，4人去意已决。唉，4个人最大才30多岁，4个家庭完了，有啥想不开的可以多寻方法多寻襄助，可不能寻短见啊。。很久没听到过这样悲凉的故事了，而且还是个事实。下一生，别来了。: 4人相约跳崖,4人全部死亡,警方认定自杀。希望多寻方法。
普通内地人的状况普通内地人月薪4000元，开着10万元一辆的代步小汽车，喝6元钱一瓶的啤酒。抽15元一包的黄鹤楼烟，穿着60元一条的裤子，100元一双的皮鞋。住着70万元一套的电梯房或30万元一栋的自建房，或价值25万元的职工老家属房。用着1800元一个的手机，吃着每餐15元的饭菜。这就是中国内地普通人的现状。沿海地区的普通人，因为沿海地区经济发达，吃穿住行比较高档。: 中国内地普通人的现状:月薪4000,开着代步小汽车,喝6元一瓶的啤酒,穿黄鹤楼烟,穿60元裤子,100元皮鞋,住70万一套的电梯房和职工老家属房。
被撞以后没有感觉不舒服，不一定没有事情，类似的情况临床上发生过多次，因此而耽误病情甚至丢了生命的，比如可以有迟发性的脾破裂，脾破裂以后可能会造成大量的出血，引起失血性休克。有时候被撞以后会有短暂的昏迷，然后又清醒，清醒以后并没有什么不舒服，很多人觉得没事儿就不去医院了，或者是去医院以后医生让查，觉得脑袋没事拒绝检查，这种情况都有可能耽误治疗。比如脑外伤的病人，特别是硬膜外血肿，就有一个中间清醒期，就是刚受伤的时候昏迷，然后昏迷个三五分钟就醒了，跟没事儿一样，过一段时间因为脑出血再次陷入昏迷。切记，摔伤，碰伤，特别是碰到脑袋一定要重视。还有一些比如肚子疼去医院，医生要求拍心电图，排除心梗的，这些检查是有必要的拉萨布达拉宫: 被撞后未感觉不舒服,可能耽误治疗,警惕摔伤、碰伤和失血性休克。
