刷到花花请不要无视，说明你的运势开始上升: 运势上升提醒:不要无视花花
王女士介绍，她于4月5日乘坐首都航空的航班，从天津前往云南丽江休假，在飞机上碰到空姐在吆喝售卖商品，包括飞机模型、化妆品、墨镜、丝巾等，售卖时间长达40分钟左右。一位民航监管部门的工作人员表示，这不属于民航业内违规违法行为，监管部门基本不会插手这类现象，是否提供机上售卖服务，由航空公司自行决定。这个场景感觉挺梦幻的，这既像到了有飞机舱背景的直播间，有装扮成空姐模样的网红带货，又像到了八九十年代的绿皮车上，一片闹哄哄的声音中，售货员的瓜子花生矿泉水，脚让一下的声音响起来。飞机上空姐推销商品，并不是什么新闻。一些廉价航空公司就有推销商品的环节，多是卖自家航空公司的周边产品，比如吉祥物、飞机模型、相关拼装玩具等，时间就几分钟。这次首都航空引起争议，就是时长达40分钟之久，除了飞机模型，还卖化妆品、墨镜、丝巾等物品，就像景区小贩吆喝的声音，有些违和。我们知道，一段航程里，飞机上升和降落大约需要1个小时，这期间机舱里的人员都要各就各位，系上安全带。国内航班，一般来说能在机舱开展活动的也就一两个小时。在这段时间里，再拿40分钟来轰炸乘客，这合理吗？毕竟，推销的声音人的耳朵不能不听。一些人还有在飞机上休息的习惯，补个觉，以度过无聊的时光，缓解旅途的疲惫。有人说，坐廉价航空就别想那么多了。关于首都航空是不是廉价航空的疑问，目前在官网并没有找到确切答案。但在网上，就有不少乘客对首都航空没有免费托运行李额度，也不提供免费餐食提出了意见。现在空姐推销的新闻一出来，虽然大多数人不理解，但也有少数人认为，飞机票价低，乘客如果既要又要还要也不现实。说实话，首都航空是不是廉航并不重要，廉航也并不等于服务质量差。不管是哪家航空公司，都不应该过度打扰乘客，同时也要给乘客知情权。那么，首都航空在卖机票的时候，有告知购票者机舱里有推销的环节吗？有提醒购票者推销时间长达40分钟吗？我想，如果这些在乘客购票时一目了然，王女士也不会这么气愤吧！有关部门称航空公司此举并不违规，这也可以理解，就是给航空公司自主经营的权限，但是权限并不是无限的。航空公司想赚钱也可以理解，想带货也不是不行，但应该照顾乘客的乘机体验，推销也要适度。毕竟，客运才是主业，推销只是副业。如果对乘客过度打扰，乘客也会用脚投票，那就得不偿失了。（评论员吴双建）: 首都航空卖机票被指违规,售货时间长达40分钟。民航监管部门表示不会插手。
我潜入了约死群聊天内容震碎三观 4名游客在张家界天门山景区山顶玻璃栈道，翻越安全护栏跳崖——刷到这则新闻时，杨媛媛立刻联想到了约死群，并回想起群内那些触目惊心的文字。杨媛媛是中部地区一所高校的英语教师，在业余时间是一名心理救助志愿者。她曾潜入约死群，发现这是一处藏匿黑暗的地方。聊天内容满载负面情绪，人员构成极度复杂，目的各异，甚至会有人引导和教唆轻生，令她直言差点震碎三观。以下是她的自述一开始，我接触到数位痛苦到有意轻生的人，其中还有大部分是十几岁到二十几岁的青少年。我试着去了解，究竟是什么样的经历让他们感到痛不欲生呢？在和他们聊天的过程中，我得知了在、微信等私域聊天平台中存在一类群，它聚集许多有轻生念头的人。此外，我们志愿者中有网警，他透露自己在追踪骗子、药贩的过程发现，这些人也会对有寻死念头的人下手，而他们会通过加入有轻生念头的人组成的约死群找到下手对象。他以网警和志愿者的双重身份进入了约死群。在此契机下，我通过我的救援对象和同伴加入了数个约死群。约死群是一种非常可怕的存在，刚进群的时候就让我感到震惊。约死群里，少的有20人左右，多的超过100人，群内充斥着负能量信息。这里，正面情绪是极不受欢迎的。我们志愿者同伴只是在负面情绪霸屏时轻轻劝解了一句就立即被踢出了群聊。新人打招呼的方式则是自述想要轻生的理由。当部分群友的话匣子打开后，群内话题就会转向，有人控诉大家看到的世界是不堪的现实是残酷的好像没有一点希望。在这类话语之下，群内的气氛像是被煽动了一样，聊到约死，接着有人会附和。或许，我们是可以随手举报，但让平台对一个群采取一封了之的方法并不能解决根本问题。这样的群还是会被重新建起来，蛊惑着迷路的人。为此，我们具备专业知识的志愿者需要做得更多一些，潜伏在里面，关注并找到有需要帮助的人，比如附和约死的人。我们的志愿者曾关注到好几起陌生网友约死的情况，一般来说，我们会组成一个救援小组，讨论出一套方案实施救援。先能聊天，取得对方信任后，慢慢问出对方所在的位置，如果正处在危险之后，我们会及时进行心理方面的危机干预，同时设法能够联系到他们的家人乃至当地警方，集合全社会的力量救助他。更多详细内容请查看原文: 张家界天门山景区约死群事件调查
1987年出生的江苏女子王暖暖（化名）开始渴望一段新感情，最大的阻碍是，她还没有和几年前把她推下悬崖的丈夫离婚。2019年6月，王暖暖和丈夫俞某冬在泰国旅行期间，被对方推下悬崖，全身多处骨折。俞某冬一审被判无期徒刑，二审被改判为有期徒刑十年。王暖暖的说法是，她和余某冬在国内领证，因为在泰国的刑事案审理还没有结束，所以无法进行离婚官司。对于王暖暖想成家的想法，大学同学施雨（化名）非常理解，谁都渴望爱情。事发三年多来，施雨见证了王暖暖从一蹶不振到走出阴霾，深知其中的不易，作为好友的他希望王暖暖尽快迎来公正的判决，然后离婚开启新的人生。（大象新闻@大象新闻）被丈夫推下悬崖的女子渴望一段新感情但最大的阻碍是还没离婚资讯: 丈夫推下女子下悬崖,女子渴望新感情,丈夫二审被改判为有期徒刑十年。施雨见证王暖暖的离婚故事。
网店售三寸金莲缠足袜299一双: 三寸金莲缠足袜店售
这种好事，你会选择休假吗？: 你会选择休假吗?
无所谓，反正我是无所谓，韩国人喜欢炒作沙尘暴就让它们炒吧。反正今年前2月韩国对华贸易逆差就达到了创纪录的5074亿美元想想五六年前韩国还可以从中国每年赚几百亿美元顺差，而今年刚两个月就不行了，而且这还是在我们的半导体国产化和国产车才刚刚发力的阶段，以后呢？以后韩国逆差的数字，我是想都不敢想。以后还有的是他们急的时候呐。: 韩国对华贸易逆差创纪录,在国产化和进口车阶段,以后可能出现逆差。
4月11日，智利国会以127票赞成、14票反对，通过了一项法案将在五年内将每周工作时间从45小时减至40小时，该国总统预计将在5月1日前将其签署为法律。该提议最初于2017年提出，但搁置了多年。议员称该法律旨在让人们更快乐并充分休息。这是智利第二次减少每周工时，第一次是在2005年，从48小时缩短至45小时。: 智利通过法案将每周工作时间减至40小时
以敲诈勒索罪判6个月 2021年3月28日，山东淄博，女子在送孩子上辅导班后与一男子在酒店开房，被尾随的老公陆某捉奸在床。与妻子有染的当事男子在付给陆某25万余元补偿后报案，陆某因敲诈勒索罪被判6个月。出狱后陆某坚持申诉，他称当时没有威胁恐吓，是对方主动提出的补偿。而与妻子有染的男子称当时害怕被打才想给补偿，但没想陆某要那么多，同时2021年5月12日，陆某的家属已赔偿其损失25万余元，对方已经对陆某的行为出具谅解书，请求司法机关对其适用缓刑或不予追究刑责。2022年12月21日淄博市中院驳回申诉。日前，陆某申诉再审获山东省高院立案。男子捉奸收情夫25万补偿获刑6个月，申诉再审获山东省高院立案: 男子因敲诈勒索罪被判6个月,出狱后坚持申诉。
4月8日，四川绵阳一女大学生称在梓潼县澳林健身房里，因劝阻女子带八九岁儿子进更衣室遭殴打。当事女生称，洗澡时听到更衣室里传来男孩说话声，更衣室和浴室间没有挡板，只有洗澡帘子挡着。她出去后提出质疑，和男孩母亲发生争执，对方骂她荡妇并打伤她，诊断证明显示其面部挫伤、左耳听力下降。女生说，报警后对方仗着更衣室没有监控拒不赔偿，还称儿子被吓哭索要精神赔偿。社交平台认证为梓潼县澳林健身房的账号回应称，此事系管理疏忽造成，诚挚道歉，并称男孩7岁，工作人员接到投诉到场后男孩已不在更衣室，警方已介入处理。12日，当地派出所表示，目前正在处理当中。女大学生劝阻女子带男孩进更衣室遭殴打她打伤我还管我要精神赔偿: 女大学生劝阻女子带男孩进更衣室遭殴打,警方已介入处理。
称，经复核，阿进录不符合该校博士研究生报考条件，取消其拟录取博士研究生资格。: 复核后阿进录取消研究生资格
据白鹿视频@白鹿视频报道4月11日，湖北武汉。一段4岁女孩高铁上表演节目的视频引争议。一部分网友认为高铁这种公众场合碰到小孩表演节目很吵闹，应该保持安静。另一部分网友认为，别对小孩恶意太大，视频中看表演的三位男士都表现出来很喜欢这段节目，有这样性格好的可爱女儿很羡慕，想拥有。对此，孩子父亲回应小孩从小性格开朗，喜欢跟人打招呼，高铁上碰到三个大哥忍不住的表演起来，乘客都很喜欢，给小孩吃零食，一起跟着玩。孩子全程只表演了视频里的这几十秒时间，孩子懂礼貌，不会贸然打扰别人。白鹿视频: 4岁女孩高铁上表演节目引争议,孩子父亲回应孩子从小性格开朗,乘客喜欢跟人打招呼。
根据韩国统计厅发布的资料，2022年韩国出生人口数为249万人，死亡人数为3728万人。这意味着去年韩国人口自然减少逾12万，这一数据也创下历史最高纪录。这已经是韩国连续第三年出生人口少于死亡人口，即人口自然减少。韩国2020年首次出现人口自然减少，之后2021年、2022年的人口自然减少规模都较前一年有所扩大。据统计，韩国17个市道行政区中，仅世宗市去年出现人口自然增长，其余16个市道均为人口自然减少，其中庆尚北道、釜山市和庆尚南道的人口自然减少规模位列前三。代表平均每名育龄妇女生育子女数的总和生育率数据也在去年跌至新低。2022年韩国总和生育率为078。从2015年至2022年，韩国总和生育率始终呈下滑趋势，并在2018年低于了1。韩国统计厅人口动向科科长林永一（音）表示，结婚人数减少和婚后不生育的人增多都影响了生育率。此外，工作与育儿难以兼顾、房价高企、教育费用负担重等成为人们不愿生育的主要原因。更为严重的是，随着低生育率和老龄化趋势持续，韩国人口今后或将进一步减少。韩国统计厅预测，从2038年开始，韩国人口自然减少规模将超过20万人，2045年减少规模将达到30多万人。据此推算，2045年韩国总人口将减少至4000万人左右。相较韩国消失，韩国偏远地区所面临的消失危机来得更为现实。韩国将某一地区20岁至39岁女性人口数量与65岁及以上老龄人口数量之比作为消失危险指数，指数越低，消失风险越高。当该指数下滑至10以下时，代表这一地区进入人口衰退风险阶段指数不足05，意味着地区消失危险较高，低于02则代表面临消失高风险。韩国雇佣信息院对统计厅发布的居民登录年中人口资料和月别居民登录人口统计资料进行分析后发现，2022年3月，该国消失危险地区已多达113个，占全国228个市郡区的496，接近一半。从细分数据来看，有45个市郡区处于消失高风险，相较2020年增加了11个68个地区步入消失危险，92个地区需注意消失风险处于正常状态的地区仅有23个。因制造业不景气的庆尚南道统营市和全罗北道群山市，以及位于首都圈周边的京畿道抱川市和东豆川市等被首次划入消失危险地区。（环球杂志）: 2022年韩国人口自然减少规模将超过20万人,老龄化趋势持续,生育率下降。
给他提供机会的公司很棒: 提供机会的公司很棒
近日，金华永康两名女子在自助餐厅就餐时，觉得餐厅定价太高，为求回本，偷偷将餐厅内的牛蛙、毛肚、鸭肠等打包带回家。涉事餐厅工作人员黎先生说，这两名女子是带着四个孩子来的，我们报警主要是想追回损失，也没想到她们会被警方行政拘留，后来家属也向我们道歉并赔偿了400元。至于警方追回的食材，黎先生称怕食材不干净，已丢弃。对这件事，你怎么看？橙柿互动: 女子在自助餐厅偷吃牛蛙、毛肚、鸭肠,涉事餐厅工作人员为追回损失,家属赔偿400元。
